Goran Gute
Jacek Butte
Kamil Bachmann
Edmund Kraushaar
Jobst Reising
Maurizio Ortmann
Ralph Auch schlauchin
Gerwin Möchlichen
Stefan Drub
Balthasar Birnbaum
Anto Stey
Alexej Christoph
Siegmund Eberhardt
Bertram Blümel
Anthony Schomber
Zlatko Eimer
Abdullah Gumprich
Cemal Ullrich
Burkhardt Textor
Sami Wernecke
Boris Klemt
Hans-willi Hörle
Meinrad Pärtzelt
Isidor Stahr
Horst-dieter Hande
Karlfried Haase
Gerard Hertrampf
Gerd Scholtz
Paul Tlustek
Wolf-dietrich Gumprich
Ilija Kramer
Jacob Seifert
Nicolaus Heintze
Horst-dieter Buchholz
Sigurd Caspar
Korbinian Mitschke
Fabian Fritsch
Boris Zahn
Jorge Fiebig
Steve Otto
Luigi Schaaf
Alexei Kruschwitz
Karl-wilhelm Etzold
Franz-peter Fröhlich
Nikolaj Börner
Karl-werner Kraushaar
Edwin Pärtzelt
Mustafa Vogt
Wilhelm Rörricht
Kornelius Wulff
Thoralf Dietz
Carl-heinz Thies
Frithjof Wiek
José Preiß
Hendrik Hethur
Maurizio Jockel
Enno Killer
Klaus-d. Krein
Hans-detlef Schuster
Calogero Zorbach
Eckhart Auch schlauchin
Aleksandar Pohl
Hans-ulrich Adler
Dogan Gutknecht
Francisco Süßebier
Helmuth Stey
Jacob Pärtzelt
Roland Häring
Theo Blümel
Hans-günter Metz
Roger Langern
Mohammed Hellwig
Patrick Hermann
Heinz dieter Henschel
Evangelos Krause
Johann Kusch
Mijo Franke
Helmut Linke
Klaus-ulrich Ullmann
Heinrich Conradi
Leif Preiß
Volker Heinz
Klaus-michael Bauer
Linus Henck
Alex Hertrampf
Kristian Werner
Dittmar Gierschner
Gero Weiß
Andy Mitschke
Klaus-günter Mosemann
Yilmaz Nette
Traugott Caspar
Horst-günter Rudolph
Ante Eimer
Boris Tintzmann
Vlado Henk
Vitus Heintze
Christof Bender
Jonathan Jäntsch
Christof Pölitz
Jörn Gutknecht
Hinrich Stiebitz
Karl-ernst Karz
Mohammed Hölzenbecher
Hans-rudolf Warmer
Miroslaw Bloch
Franz Mosemann
Sebastian Jäkel
Robert Holsten
Enver Rogge
Ekrem Löwer
Hans-adolf Börner
Justus Röhricht
Hans-dieter Staude
Knud Wieloch
Anatolij Hölzenbecher
Ben Gnatz
Celal Meister
Roland Peukert
Hans-josef Bruder
Axel Weinhold
Sebastian Davids
Antonios Mitschke
Lambert Schüler
Slavko Hertrampf
Hans-ulrich Hamann
Friedrich-karl Kobelt
Giuseppe Röhrdanz
Hans jörg Löffler
Hans jörg Ortmann
Mijo Dowerg
Hans-henning Gröttner
Hermann josef Wagenknecht
Kay-uwe Weiß
Nurettin Auch schlauchin
Till Scholz
Volkmar Dobes
Paul-gerhard Schleich
Sigmund Austermühle
Otfried Rogner
Karl-heinz Benthin
Mahmut Warmer
Francesco Butte
Steffen Finke
Nikolaus Nohlmans
Axel Mies
Siegmund Ortmann
Hans-heinrich Pechel
Raphael Henschel
Egbert Bohnbach
Rudolf Wesack
Alexej Löchel
Oscar Stoll
Heinz-dieter Krebs
Edmund Junitz
Clemens Naser
Jose Köster
Halil Carsten
Siegfried Sölzer
Jobst Schomber
Karl-otto Adolph
Bernd Vollbrecht
Hubertus Pärtzelt
Ibrahim Conradi
Adem Möchlichen
Eckhardt Käster
Marc Austermühle
Saban Atzler
Willy Fischer
Karlfried Bruder
Ernest Klemm
Enno Löffler
Jiri Pölitz
Hans-detlef Möchlichen
Dagobert Schacht
Hans-ulrich Bien
Hartmuth Fritsch
Claudio Wilmsen
Carmelo Putz
Hans-hermann Metz
Jakob Gnatz
Hansjürgen Schulz
Murat Klemt
Reinald Ebert
Willy Bloch
Heinz-dieter Heser
Tassilo Stumpf
Daniel Weitzel
Hartmuth Weller
Otto Henschel
Frithjof Hertrampf
Klaus Scholl
Hans georg Bachmann
Rolf-peter Schmidt
Karl-heinz Schuchhardt
Horst-dieter Jähn
Dennis Franke
Wladimir Trupp
Arnulf Paffrath
Moritz Cichorius
Christopher Oderwald
Karl-werner Stey
Walther Naser
Eduard Geisler
Cosimo Etzold
Tony Mans
Sebastiano Wilmsen
Arndt Schenk
Sepp Seip
Jost Jähn
Markus Trupp
Arnulf Scheibe
Gino Thies
Christos Freudenberger
Henry Pieper
Rigo Schmiedt
Wolfgang Pruschke
Sedat Trubin
Hansjörg Meyer
Rudi Davids
Wieslaw Otto
Joseph Salz
Hans-wilhelm Hölzenbecher
Ahmet Bohnbach
Jann Fröhlich
Jan Wesack
Dino Möchlichen
Wolf-dieter Börner
Kemal Kusch
Matthias Metz
Sylvester Radisch
Klaus-michael Ehlert
Nikolaus Trommler
Konrad Klingelhöfer
Konstantinos Roskoth
Heribert Eimer
Wieland Nerger
Mirco Keudel
Klaus-ulrich Hornich
Bertram Koch ii
Franz-xaver Kranz
Viktor Gertz
Claas Reinhardt
Adalbert Putz
Herbert Pruschke
Hans-günter Peukert
Aribert Ruppersberger
Zbigniew Carsten
Fridolin Holt
Arndt Tröst
Eugen Rogge
Sergei Johann
Juan Rose
Marcel Bolzmann
Andrei Heß
Mirko Schleich
Pawel Eckbauer
Athanasios Wagenknecht
Karl-dieter Scheibe
Meinolf Gnatz
Nicolas Herrmann
Dietmar Henschel
Ahmad Walter
Achim Lehmann
Bert Austermühle
Darius Radisch
Harald Stiffel
Paulo Speer
Steve Baum
Attila Eberhardt
Rolf-peter Jüttner
Siegward Geisel
Ilja Karz
Hans-günther Heidrich
Heinz-walter Jacob
Nicolaus Langern
Necati Heser
Lorenz Hoffmann
Niels Trommler
Wolf Wernecke
Hans-ludwig Mude
Erdal Rust
Detlef Otto
Sepp Plath
Mijo Dobes
Carl Mentzel
Heinz-josef Winkler
Dirk Schleich
Edgar Stroh
Erdal Adolph
Bernt Junk
Joerg Rosenow
Hans-adolf Hornich
Norman Vogt
Gottfried Walter
Eckehard Oderwald
Freddy Heß
Heinz-günther Häring
Christoph Klapp
Reinhold Butte
Gabriel Gieß
Arnulf Ruppert
Rene Roskoth
Ladislaus Bolander
Winfried Hiller
Alexandros Preiß
Karl-werner Süßebier
Frank-michael Mielcarek
Hans-helmut Käster
Erdogan Misicher
Helmuth Siering
Siegmar Heidrich
Andy Pruschke
Ercan Fritsch
Marius Wähner
Kristian Lindau
Hans georg Ullrich
Thomas Pohl
Hansjürgen Karge
Alf Etzold
Milan Bonbach
Kornelius Wiek
Matthias Pechel
Marcus Kallert
Dariusz Mühle
Sigfried Adler
Gregor Hertrampf
Hansjürgen Lindner
Vito Kraushaar
Maurice Lorch
Hanno Täsche
Anatolij Schottin
Massimo Ullrich
Hans Schlosser
Heinz-dieter Schuster
Christopher Heß
Claudio Röhrdanz
Jens-peter Kranz
Rudolph Junk
Otfried Oestrovsky
Engelbert Weitzel
Franz josef Briemer
Christos Eberhardt
Horst-peter Schenk
Goran Scheel
Michael Gorlitz
Ehrhard Pölitz
Heinz-otto Weinhold
Raphael Hertrampf
Danilo Ziegert
Günter Kranz
Moritz Schomber
Ali Pärtzelt
Hannes Sölzer
James Börner
Willfried Bloch
Raik Biggen
Ronald Rädel
Franz-josef Warmer
Ernst-otto Stadelmann
Enrico Tschentscher
Sahin Bähr
Paul-heinz Ehlert
Horst-peter Hartmann
Jonas Drewes
Ronny Heidrich
Eckehard Koch ii
Herwig Berger
Maxim Gröttner
Jörg Kramer
Leonardo Rohleder
René Döring
Steffen Cichorius
Vincenzo Eckbauer
Egon Metz
Serge Henk
Alberto Plath
Gaetano Pieper
Matthias Henschel
Burkard Wulf
Jurij Krein
Johan Schuster
Hans-dieter Möchlichen
Enver Eberth
Hendrik Heidrich
Raphael Radisch
Bruno Thanel
Francisco Dobes
Arnd Finke
Thorsten Oderwald
Karl-werner Löwer
Ferenc Gröttner
Artur Schleich
Gert Mende
Niko Bruder
Sergei Wulff
Joachim Segebahn
Ulrich Kramer
Constantin Rose
Bernfried Bruder
Senol Lorch
Reinhardt Linke
Marko Gehringer
Hansjürgen Reising
Hans-willi Metz
Harro Holsten
Bernt Auch schlauchin
Bartholomäus Meyer
Niels Gertz
Pius Bohnbach
Pius Keudel
Klaus-dieter Bähr
Leonid Gorlitz
Nicolas Sölzer
Heinz-willi Ditschlerin
Kunibert Tintzmann
Jose Weihmann
Hermann-josef Kensy
Ernst-otto Bolander
Hansjürgen Ziegert
Klaus-dieter Schuchhardt
Hans-michael Linke
Maik Langern
Steve Trub
Fred Kühnert
Kuno Holzapfel
Renato Hörle
Ante Ladeck
Tino Drewes
Othmar Gertz
Gerhart Jäntsch
Andrej Hein
Gotthold Bolander
Gero Schuchhardt
Ernst-dieter Röhricht
Steve Jäkel
Carl Schaaf
Gero Riehl
Mijo Wilms
Hans-friedrich Gierschner
Meinrad Krause
Paolo Sontag
Ulf Bohlander
Sylvester Tlustek
Rochus Ruppersberger
Anatol Hermighausen
Hans-gerhard Dietz
Nicolaus Rogner
Juan Hellwig
Meinolf Schwital
Thorben Trapp
Leonard Radisch
Stephen Reinhardt
Ernst-dieter Rädel
Ramon Holt
Jürgen Schmiedecke
Zenon Nette
Harold Hentschel
Mariusz Caspar
Otfried Jungfer
Hansjürgen Conradi
Josef Ernst
Johann Ullmann
Rudi Benthin
Adolf Beckmann
Herrmann Sorgatz
Luciano Drub
Siegward Hecker
Antonius Lange
Eggert Stroh
Arne Hermighausen
Jaroslav Trupp
Peter-michael Ackermann
Rochus Pergande
Sami Reinhardt
Karl-josef Kohl
Nikolai Eberhardt
Nikolaus Niemeier
Winfried Barkholz
Joseph Stey
Hasso Schaaf
Hans-michael Adolph
Bert Lachmann
Bastian Förster
Gerfried Hornig
Alfredo Ortmann
Hartmut Wesack
Max Ring
Zbigniew Jacobi jäckel
Wieslaw Auch schlauchin
Ingmar Mielcarek
Robin Mende
Robin Rädel
Samuel Neuschäfer
Konstantinos Renner
Raphael Nohlmans
Karl-otto Heinrich
Ricardo Wieloch
Nicolai Geisel
Frederik Schottin
Klaus-jürgen Schmiedecke
Clemens Davids
Fridolin Gotthard
Bernd-dieter Schleich
Karl-hans Pärtzelt
Alfred Neureuther
Hans-theo Adler
Benjamin Rädel
Osman Stiffel
Johan Stahr
Cosimo Schweitzer
Thies Budig
Hans-walter Striebitz
Vito Stolze
Cetin Ehlert
Gert Heydrich
Gunter Kabus
Henner Junitz
Alfonso Junitz
Stjepan Fischer
Wulf Lorch
Raymond Pieper
Antonio Ring
Engelbert Jungfer
Erol Bolzmann
Karl-august Ditschlerin
Paul-heinz Finke
Ralf-dieter Krebs
Athanasios Kabus
Christopher Caspar
Lutz Schleich
Klaus-dieter Hermighausen
Cemal Schmiedt
Hans-albert Pärtzelt
Hans-martin Christoph
Wilhelm Henck
Heinz-willi Oderwald
Bernfried Holsten
Cord Jacob
Marcus Hauffer
Malte Hande
Hans-willi Pohl
Sylvio Caspar
Karl-heinz Sorgatz
Reinhard Textor
Veit Börner
Jochem Kostolzin
Friedo Henschel
Alan Schuchhardt
Dieter Wagner
Heinz-otto Jüttner
Carl Krause
Bernfried Jockel
Ludwig Zobel
Ante Mentzel
Heinz-willi Löchel
Dimitri Ruppert
Gino Rohleder
Bernd Wiek
Edwin Schenk
Hellmuth Juncken
Ludger Gerlach
Peter Seifert
Franz Hermighausen
Claus-peter Matthäi
Klaus peter Sauer
Engelbert Kohl
Gernot Junken
Timm Seifert
Oscar Caspar
Cemal Bloch
Reimund Etzler
Hans d. Heuser
Wieland Juncken
Hannes Hoffmann
Fridolin Beer
Baldur Stadelmann
Thorsten Gieß
Giorgio Kruschwitz
Claus-dieter Stolze
Manuel Mies
Friedemann Klemm
Diedrich Gehringer
Gabriel Kensy
Mario Wende
Aziz Schleich
Berend Jüttner
Axel Ernst
Hans-erich Eimer
Marcel Nerger
Raik Heintze
Franz-xaver Meyer
Celal Schleich
Konrad Mosemann
Heinz-werner Kuhl
Thorben Radisch
Leszek Kuhl
Hans-hermann Hörle
Robin Schäfer
Mohammad Sölzer
Sebastiano Scheuermann
Kilian Fischer
Engin Kuhl
Erhard Austermühle
Sebastian Zänker
Charles Eimer
Leonhard Franke
Arnim Metz
Burkard Stiffel
Marcel Hoffmann
Max Ullmann
Gerard Stahr
Hans-jürgen Trüb
Constantin Hering
Heini Barkholz
Cord Flantz
Hüseyin Fiebig
Tony Löwer
Helmar Killer
Hans-j. Schleich
Luigi Faust
Maik Hesse
Alois Schönland
Oswald Döring
Felix Berger
Rico Döhn
David Kühnert
Bela Christoph
Enver Stumpf
Hans-martin Weiß
Milos Van der dussen
Reimer Säuberlich
Othmar Hahn
Ercan Junitz
Gabriel Briemer
Helmar Hornich
Heinz-georg Kade
Hans-werner Stahr
George Müller
Ramon Stey
Remo Döring
Emmerich Ortmann
Hans-josef Thanel
Mathias Fliegner
Hans-wolfgang Binner
Edgar Wieloch
Recep Förster
Bertold Heinrich
Alfred Schleich
Klaus-ulrich Kade
Rolf Mielcarek
Volkmar Buchholz
Hans-herbert Wohlgemut
Janko Ullrich
Alwin Wieloch
Gabriel Rudolph
Hans-hinrich Drewes
Bernward Steinberg
Rigo Täsche
Andreas Wilmsen
Aribert Dippel
Baldur Hein
Emanuel Jähn
Hüseyin Seifert
Helfried Pölitz
Heinz dieter Margraf
Karl-werner Süßebier
Hanno Buchholz
Tilo Berger
Maximilian Fritsch
Guiseppe Wernecke
Patrik Jessel
Matthäus Koch
Miroslav Zahn
Denny Gnatz
Franz-josef Jäntsch
Grzegorz Stoll
Mirco Klapp
Volkmar Radisch
Cord Warmer
Geert Holsten
Harm Mende
Maxim Blümel
Matthäus Staude
Kay-uwe Christoph
Diether Rudolph
Erol Lindau
Erik Hövel
Hartmuth Geißler
Malte Oderwald
Darius Löchel
Willibald Atzler
Raik Kallert
Siegmar Trüb
Goran Junck
Carlo Segebahn
Franjo Rädel
Valerij Kühnert
Dursun Weihmann
Friedhold Stoll
Günter Rohleder
Aziz Siering
Rouven Langern
Hans georg Neureuther
Holm Bender
Hans-otto Radisch
Robin Mälzer
Adam Scholtz
Sabri Mohaupt
Rudolf Warmer
Eugen Albers
Pirmin Hentschel
Romuald Beckmann
Willibald Hänel
Paulo Gude
Eckehard Flantz
Heinz-otto Renner
Heribert Flantz
Peter-michael Mende
Hansjürgen Schomber
Eckart Briemer
Laszlo Girschner
Nuri Bauer
Dino Knappe
Fredy Tschentscher
Eckhart Zirme
Petar Bärer
Antonios Lübs
Hubert Schinke
Othmar Lübs
Miodrag Stiebitz
Geert Schinke
Mathias Kranz
Wolfhard Stey
Hans-peter Girschner
Antonino Eckbauer
Abdul Ackermann
Hans josef Hande
Ralf-peter Rörricht
Hans-rudolf Hering
Clemens Täsche
Ferenc Tschentscher
Utz Kusch
German Pergande
Vincenzo Binner
Dierk Ortmann
Janusz Hiller
Jonas Zimmer
Paolo Preiß
Klaus-günter Bolnbach
Immo Fröhlich
Christian Schaaf
Hans jürgen Patberg
Ronny Tintzmann
Calogero Gutknecht
Hans-wolfgang Kostolzin
Stephan Bärer
Claus-dieter Häring
Gottlieb Trüb
Boris Karz
Klaus dieter Bärer
Hans-ulrich Jäkel
Philip Stroh
Juri Wesack
Kenneth Karge
Benedikt Gertz
Karl-wilhelm Junken
Wieland Vollbrecht
Matthias Mans
Hugo Trüb
Bernhard Tschentscher
Diethard Sölzer
Meinhard Tröst
Marcus Ullrich
Adolf Tröst
Maik Wende
Horst Röhricht
Hans-gerhard Reising
Raik Ullrich
Josip Vogt
Pascal Junck
Arno Herrmann
Tom Stroh
Bertram Briemer
Sahin Kuhl
Ditmar Benthin
Karl-august Krebs
Heinz-dieter Bachmann
Thorsten Mitschke
Bastian Kruschwitz
Helge Hecker
Gernot Mangold
Steffen Schuchhardt
Salvatore Mühle
Achim Hentschel
Dimitri Schmiedt
Heinrich Hornich
Paul-gerhard Seip
Veit Ring
Muharrem Drubin
Vinko Gehringer
Zdravko Albers
Goran Rose
Grzegorz Süßebier
Steven Wesack
Marcel Kambs
Thoralf Eigenwillig
Salvatore Weiß
Adam Linke
Uli Junken
Richard Fechner
Klaus-ulrich Mohaupt
Claudio Sager
Edelbert Wiek
Thies Schulz
Reimer Herrmann
Orhan Henschel
Hans-jochen Dehmel
Bruno Rädel
Alfons Bachmann
Alberto Weimer
Christopher Keudel
Gerold Sölzer
Fritz Hauffer
Philip Davids
Karsten Zobel
Julian Gutknecht
Maurizio Christoph
Jonas Hövel
Anastasios Täsche
Franjo Schlosser
Anthony Beckmann
Hans-hinrich Ehlert
Rouven Kreusel
Matthäus Wohlgemut
Claus Schinke
Burghard Austermühle
Folker Stoll
Romuald Jungfer
Kazim Ritter
Friedo Hövel
Lorenz Gerlach
Arnim Birnbaum
Markus Martin
Heinz-werner Schmidtke
Francis Walter
Paul-gerhard Kruschwitz
Gilbert Zirme
Martin Röhrdanz
Tom Bolnbach
Rigo Jacob
Benno Schmidtke
Erkan Weimer
Nico Harloff
Gordon Stroh
Henning Textor
Karl-hans Trommler
Friedhold Wirth
Constantin Zänker
Maik Schleich
Jorge Gute
Emil Noack
Erdogan Lorch
Heinz-peter Albers
Valentin Schottin
Fatih Nerger
Friedbert Dörschner
Abbas Jopich
Stanislaw Pechel
Konrad Rosemann
Brian Schaaf
Eric Jessel
Fernando Rädel
Mesut Zorbach
Jan-peter Hartmann
Ramazan Fliegner
Luigi Linke
Ewald Sager
Kenneth Sauer
Dagobert Steinberg
Xaver Wilmsen
Karl Eckbauer
Eduard Trommler
Ekrem Thanel
Uwe Bolzmann
Aldo Spieß
Mikhail Ehlert
Tassilo Pruschke
Karl-august Hövel
Jurij Linke
Heinz-gerd Hahn
Hermann josef Biggen
Gundolf Bachmann
Tom Beer
Roberto Kruschwitz
Bastian Textor
Anatoli Dippel
Adolf Warmer
Hans-albert Steckel
Meinhard Metz
Ullrich Stroh
Baldur Barth
Reimer Siering
Reinald Heser
Hubertus Karz
Tino Heinrich
Klaus-günter Geisel
Harold Reichmann
Norman Spieß
Mike Sager
Giovanni Putz
Alan Trüb
Nuri Gorlitz
Gino Margraf
Dragan Renner
Stephen Ditschlerin
Anastasios Hövel
Günter Atzler
Willy Trüb
Fernando Pergande
Wojciech Kruschwitz
Bekir Haering
Konstantin Ehlert
Siegbert Gunpf
Enrico Bloch
Antonino Lange
Wilhelm Drewes
Curt Römer
Tilo Albers
Kuno Zirme
Leo Stadelmann
Gerolf Söding
Veli Graf
Berend Gerlach
Miodrag Sager
Wladimir Ditschlerin
Ulrich Loos
Gottlieb Käster
Ekkehard Jessel
René Meyer
Heiner Freudenberger
Siegmar Nette
Arne Hörle
William Pechel
Heinz-otto Rohleder
Celal Ruppert
Franjo Bolzmann
Heribert Mende
Christof Ackermann
Sami Kraushaar
Miguel Radisch
Baldur Gertz
Veli Beer
Gerd Oderwald
Alfons Margraf
Willibald Oestrovsky
Pero Misicher
Cemal Haering
Sepp Bonbach
Hartmuth Kuhl
Cengiz Hölzenbecher
Mohammed Rose
Hans jürgen Austermühle
Paolo Löffler
Thorben Börner
Mustafa Davids
Niklas Kaul
Tadeusz Dehmel
Hans-theo Bauer
Gino Lange
Kenan Trüb
Edward Bloch
Albrecht Klemt
Sabri Sölzer
Kai-uwe Rudolph
Kurt Heintze
Pedro Ullrich
Tilo Vogt
Robert Caspar
Thies Cichorius
Danny Sauer
Harri Lindner
Bernfried Meyer
Dan Roht
Fedor Barth
Athanasios Weimer
Hermann josef Haering
Arnd Geißler
Lorenz Wiek
Nicolas Pechel
Hartmuth Salz
Hans-dietrich Kühnert
Luciano Kruschwitz
Gabriel Dussen van
Klaus-michael Knappe
Wilhelm Oestrovsky
Sergei Barth
Hans-wolfgang Rosenow
Sieghard Rose
Dominik Hänel
Hanspeter Rosenow
Paul Schenk
Hasan Zahn
Wieslaw Pohl
Sönke Conradi
Bernhard Schinke
Ilja Wulf
Manfred Holzapfel
Imre Naser
Sigismund Margraf
Valentin Rust
Roderich Binner
Bertold Kruschwitz
Hans-theo Holsten
Carlo Wilms
Karl-werner Pieper
Lambert Rudolph
Helfried Scholl
Stavros Kusch
Ingbert Hentschel
Sebastian Becker
Stefan Gutknecht
Ralf-peter Zimmer
Giorgio Stey
Sebastiano Plath
Heinz-otto Stolze
Karl-heinz Fechner
Hans-günther Atzler
Tomasz Bähr
Jobst Kreusel
Friedrich Losekann
Friedemann Eckbauer
Hans-willi Beier
Ramazan Gutknecht
Lorenz Gierschner
Reimar Kranz
Filippo Scholz
Burkard Nerger
Ehrenfried Hoffmann
Stanislav Ackermann
Hansjoachim Förster
Vladimir Girschner
Johan Döhn
Marcel Gnatz
Rene Martin
Hans-günter Girschner
Herbert Rust
Burkhardt Liebelt
Werner Pergande
Freddy Trommler
Abraham Schleich
Veli Pohl
Wolfram Pruschke
Ernst-dieter Rosenow
Jurij Koch ii
Jonas Bohnbach
Sandro Johann
Goran Huhn
Kunibert Otto
Heinz-peter Preiß
Frederic Junck
Anton Patberg
Winfried Franke
Lorenz Martin
Burkhard Finke
Sigmar Martin
Engelbert Mohaupt
Nikolaj Martin
Rüdiger Johann
Alf Reising
Jörgen Kobelt
Bodo Kobelt
Karl-werner Eberth
Gotthold Möchlichen
Erkan Rädel
Maurice Dobes
Heinz-josef Krebs
Friedhold Hethur
Pawel Pärtzelt
Gottfried Nohlmans
Domenico Junitz
Klaus-ulrich Kroker
Necati Hellwig
Aleksander Steinberg
Ernst-otto Döring
Marijan Henschel
Hans-hinrich Schaaf
Claudio Dietz
Luis Preiß
Malte Rädel
Dusan Hesse
Aleksej Schlosser
Pirmin Nerger
Janos Hiller
Lars Schomber
Woldemar Krebs
Charles Henschel
Hans jörg Klingelhöfer
Hans-wilhelm Schmidtke
Arnim Zorbach
Heinz-jürgen Dobes
Slawomir Atzler
Karl-friedrich Eimer
Wieland Schüler
Reimar Geißler
Detlev Hethur
Dragan Kabus
Erik Schinke
Gerhard Beckmann
Frederic Jockel
Vinko Hölzenbecher
Karl-ludwig Wagenknecht
Friedo Albers
Hans-joachim Etzler
Ismail Barth
Heiner Ackermann
Theo Naser
Rüdiger Renner
Ian Stumpf
Fatih Briemer
Moritz Stoll
Fred Schmidtke
Meinolf Baum
Torben Wirth
Eckart Hövel
Imre Barkholz
Eggert Pohl
Laszlo Stiffel
Hendrik Schleich
Gerold Gehringer
Fritz Biggen
Hans-günter Kühnert
Marvin Lehmann
Adem Karz
Othmar Dörr
Helfried Gierschner
Bayram Klemm
Boris Junk
Volkmar Winkler
Marius Benthin
Thorsten Tintzmann
Jacob Jungfer
Anselm Wulff
Kristian Rädel
Athanasios Austermühle
Maik Margraf
Fredi Austermühle
Raimund Hövel
Kamil Köster
Fred Niemeier
Meik Schacht
Frederic Schönland
Vinzenz Hiller
Karl-werner Stey
Mariusz Kreusel
Karl-friedrich Jessel
Till Heser
Bartholomäus Siering
Carl-heinz Lindner
Klaus peter Heintze
Alfredo Blümel
Rolf-dieter Stolze
Celal Noack
Mohammad Wagenknecht
Mustafa Tröst
Stefan Geißler
Hans d. Holt
Valerij Budig
Hermann Schomber
Heimo Mielcarek
Aziz Birnbaum
Imre Röhricht
Urs Hörle
Cosimo Anders
Birger Margraf
Sergej Weiß
Ignaz Kranz
Branko Scholl
Till Flantz
Paulo Geisel
Karl-georg Mende
Aloys Klemm
Anastasios Stadelmann
Hans-jörg Scholl
Kaspar Koch ii
Thilo Schulz
Egbert Heintze
Georgios Mies
Alfonso Geisel
Johan Hendriks
Pascal Martin
Dirk Gerlach
Philip Klingelhöfer
Klaus-werner Salz
Francesco Dowerg
Maurice Salz
Ehrhard Rudolph
Eduard Briemer
Carlos Tröst
Frank Niemeier
Sebastiano Steinberg
Heinz-georg Weller
Pedro Hiller
Giovanni Rädel
Franz Krause
Klaus-jürgen Briemer
Sahin Putz
Gordon Mielcarek
Ben Ackermann
Grzegorz Hölzenbecher
Ole Hübel
Ernst-august Trupp
Attila Zimmer
Mehmet Hauffer
André Löwer
Renato Schulz
Reinhard Dietz
Louis Neureuther
Jaroslaw Killer
Leonardo Freudenberger
Marcel Bender
Reimund Schuchhardt
Mirco Kusch
Frieder Gunpf
Klaas Nette
Rochus Jäkel
Valentin Jungfer
Stefano Hering
Philipp Hübel
Luis Ditschlerin
Marcel Wirth
Leonardo Binner
Angelo Mälzer
Anastasios Pohl
Hans-henning Adler
Kay-uwe Drub
Harry Fechner
Gabor Beier
Sigmar Eckbauer
Joerg Davids
Karl-ernst Trüb
Erol Kabus
Domenico Junitz
Sylvester Eberth
Karlfried Schuchhardt
Serge Rörricht
Engin Dietz
Ilija Geisel
Evangelos Davids
Traugott Trub
Arne Kreusel
Folkert Schweitzer
Henning Sager
Wulf Röhrdanz
Helmut Kabus
Domenico Schönland
Pawel Hecker
Dieter Kramer
Ron Karz
Marian Kohl
Ilja Wohlgemut
Raik Fiebig
Berthold Pölitz
Jorge Scholl
Kristian Henk
Sebastian Rörricht
Edelbert Fischer
Ron Pergande
Marten Hentschel
Steffen Lachmann
Leonid Segebahn
Burkhard Tintzmann
Simon Krebs
Jochem Bärer
Hans-karl Döhn
Hans-wolfgang Bruder
Dittmar Stadelmann
Alexandre Mühle
Paulo Stiffel
Ditmar Stolze
Jurij Jüttner
Sepp Bolander
Uwe Bien
Adem Putz
Arnfried Scheibe
Friedhelm Nerger
Gerhardt Paffrath
Vladimir Finke
Daniel Drubin
Filippo Schönland
Heimo Striebitz
Hans-h. Kitzmann
Augustin Kranz
Augustin Weinhage
Adrian Killer
Hans-henning Heinrich
Erol Harloff
Luigi Junitz
Lukas Putz
Nicolai Peukert
Leif Bender
Maurice Rosemann
Ansgar Becker
Torben Trupp
Claudius Trubin
Hans-friedrich Schmiedt
Christopher Henck
Rafael Conradi
Sebastian Zorbach
Hans-jörg Eckbauer
Roger Pölitz
Eckhard Jacobi jäckel
Ernst-august Pölitz
Marcel Kuhl
Karlheinz Söding
Immo Ullrich
Vinko Jüttner
Franz josef Birnbaum
Pierre Van der dussen
Björn Cichorius
Carmelo Blümel
Senol Weimer
Sönke Heuser
Cemal Wulf
Jacek Mühle
Gordon Schuster
Eric Lange
Theodor Nohlmans
Recep Dussen van
Franz-josef Geisel
Roy Lübs
Sergei Weller
Mikhail Beier
Sergei Bohlander
Friedrich Heß
Rouven Jüttner
Sigismund Kabus
Matthias Metz
Uli Hahn
Heinz-dieter Striebitz
Ekkehard Wagenknecht
Engelbert Eckbauer
Klaus peter Nette
Boris Ullmann
Ferdi Gude
Heinz-willi Schottin
Mehdi Schuster
Muzaffer Römer
Willi Buchholz
Osman Jäntsch
Sigmund Neuschäfer
Karl-wilhelm Losekann
Karl-peter Gorlitz
Carl-heinz Röhrdanz
Heinz-günther Tintzmann
Lothar Ehlert
Peter Albers
Iwan Weinhage
Halil Köster
Wulf Wende
Wilhelm Bruder
Sigurd Reinhardt
Steven Wilmsen
Wieslaw Heinz
Lorenz Henschel
Gerolf Sontag
Pius Van der dussen
Korbinian Kallert
Erdogan Thies
Bartholomäus Trupp
Tino Schlosser
Fredi Mühle
Klaus-dieter Köster
Louis Schwital
Markus Wende
Arnulf Hartmann
Christof Steckel
Willibald Röhricht
Heinz-willi Herrmann
Jakob Johann
Heribert Christoph
Guntram Röhrdanz
Boris Eberhardt
Marten Heser
Franz-josef Wende
Holger Preiß
Laszlo Hölzenbecher
Dominic Käster
Wladimir Pruschke
Heinz-werner Seifert
Holm Beier
Guido Weiß
Rochus Schönland
Oswin Schäfer
Nurettin Stadelmann
Patric Johann
Eckehard Möchlichen
Ulf Röhrdanz
Ryszard Anders
Mato Mude
Benno Reising
Dogan Dobes
Berthold Bender
Maurizio Müller
Franz-peter Weiß
Heinz-joachim Zahn
Bayram Schwital
Bela Lange
Luis Rosemann
Slawomir Hein
Hardy Zirme
Pirmin Mielcarek
Thoralf Kühnert
