Henry Alcaraz
Diego Cintrón
Gregorio Avilés
Alejandro Pomares
Enrique Ríos
Américo De la crúz
Eutropio Lozano
Gloria Lucero
Paola Granados
Noé Arevalo
Cristóbal Colón
Alirio Chacón
Clemente Mora
Albeiro Rodríguez
Celso Montoya
Ernesto Arribas
Emilia Anaya
Jose Ribera
Noelia Malo
Andrés Rosario
Emiliano García
Luis Ruano
Alcides Cardona
Aristides Bautista
Antonio Baca
Conchita Lugo
Sonia Gómez
Felix Cotto
Angélica Valencia
Ever Belmonte
Luis miguel Olivera
Isabel Lamas
Eusebio Quintanilla
Genaro Casal
César Manso
Pilar Nazario
Carlos Rojas
Eustaquio Carmona
Miguel Ariza
José Medrano
Noelia Vergara
Agustín Chaparro
Óscar Rendón
Óliver Serna
Raúl Bustos
Elvia Ayala
Martin Guerra
Camilo Burgos
Jimmy Ureña
Julián Donaire
Daniel Corrales
Esteban Cotto
Óscar Jaramillo
Tristán Castañeda
José Centeno
Orlando Muñiz
Helena Velandia
Daniel Barrios
Juan Olivárez
Frida Fuentes
Omar Quintana
Elvia Rivera
Concepción Feliu
Luís Quintanilla
Fabio Campo
Irene Rodríguez
José Canals
Aristides Corbacho
Esmeralda Díaz
David Gollum
Amelia Forero
Esmeralda Leiva
Eduardo Lebrón
Eugenio Salgado
Natanael Valdivia
Eva Mateo
Héctor Treviño
Wilmer Reyes
Lino Calderon
Enrique Ospina
Miguel Orta
Adela Guzmán
Ángel Ochoa
Raúl Salom
Eduardo Domínguez
Vicente Chapa
Mariana Tormo
Miguel Mora
Manuel Cordero
Carlota Ospina
Celso Saavedra
Galo Moreno
Luis Pinzón
Eduardo Guerrero
Alberto Bayo
Jesús Caballero
José Solera
Ana maría Del valle
Socorro Rosario
Eutimio Pinilla
Adalberto Páez
Sabas Nadal
José carlos Canales
Marco antonio Morante
César Vargas
Luis Arango
Ismael Avilés
Edelmiro Zamorano
Amando Amat
Alberto Duran
Patricio Peñas
Juan pablo Neira
Renato Pina
Estefanía Agullo
Amancio Sánchez
Joel Borrás
Gustavo Páez
Roberto Navarrete
Willian Granado
Patricia Burgos
Ulises Erazo
Alexander Jove
Rufino Amaya
Miller Jaime
Mauricio Arango
Paul Pérez
José luis Cortez
Patricio Ortega
Brayan Sandoval
Efrain Diego
José Mora
Espartaco Garibay
Baldomero Matías
Cesar Tamayo
José mari Carrillo
Iván Moreno
Danny Castejón
Alonso Vélez
Luis Nava
Federico Giraldo
Bernardo Castro
Enrique Del río
Juan carlos Sánchez
Úrsula Torres
Esperanza Pérez
Felipe Salgado
Luis Quiroz
Lourdes Polo
Lucas Benavides
Herminio Revilla
Cornelio Alegria
Héctor Jurado
Antonio Narváez
Pablo Jove
Martha Rendón
Eloisa Barrera
José Bueno
Sabas Díez
Juan Arévalo
Eugenio Castejón
Jose ramón Ospino
Dulce Sandoval
Camilo Carbajal
Luis Contreras
Elpidio González
Cruz Hernández
Jhon Iniesta
Galo Escobedo
Jenaro Mayol
Fabián Márquez
Álvaro Criado
Haroldo Ornelas
Óscar Monsalve
Benigno Saldaña
Jairo Garrido
José Gómez
Juan Tudela
Alberto Parra
Juan Caballero
Norma Moreno
Pepito Pulido
Arturo Guevara
Emilia Cañete
Gerónimo Castell
Gonzalo Viera
Fidel Gallardo
Bruno Henríquez
Adalberto Castañeda
Lisandro Jiménez
Jhonatan Londoño
Gustavo Trujillo
Anderson Chaparro
Amancio Mora
Marcelo Lastra
Mohamed Vera
Augusto Baeza
Elías Romero
Luis Osorio
Balduino Ródenas
Emilia Negrete
Fidel Arias
Fabián Centeno
Vanesa Herranz
Rebeca Bayona
Marc Hernández
Marciano Mosquera
Modesto Acuña
Edgardo Arroyo
Jorge Montoya
Édgar Palomo
Salma Romero
Mario Sánchez
David Macías
Jose carlos Jiménez
Danilo Borrego
Rafa Guevara
Adalberto Ramírez
Mariano Urrutia
Olegario Sánchez
Martín Núñez
Dario Ríos
Fernando Quintero
Natalia Ríos
Dario Narváez
Juan Ávila
Mariana Gómez
Leonardo Barrera
Homero Oller
Gervasio Abril
Jaime Villa
Linda Velasco
Trinidad Abella
Arturo Mínguez
Cleto Carvajal
Fabio Pérez
Gustavo Cazares
Alberto Tormo
Edgar García
William Rincón
Jorge Muro
Sergio Ruiz
Joaquín Pastor
Alejandro Rey
Alfonso Rubio
Jaime Yáñez
Julián Navas
Beatriz Egea
Felipe Vizcaíno
Eliecer Mata
Lucho Orta
Mariana Rojas
Álvaro Caballero
María elena Ramírez
Eva Oquendo
Alberto Mendoza
Humberto Barajas
Alejandro Blanch
José carlos Salazar
Heraclio Jódar
Armando Escobedo
Ilse Macias
Brayan Arcos
Gustavo Tudela
Carlota Moreno
Jeremías Martorell
Natalio Bustamante
Saturnino Pérez
Nacio Gil
Demetrio Mayoral
Jhon Bañuelos
Omar Lebrón
María del carmen Ojeda
Leonardo Bahena
Anabel Lerma
Francisco Ocampo
Pablo Barrios
Jaqueline Cruz
Guillermo Arango
Zoé Andrade
Guillermo Salamanca
Jose ramón Ruiz
Ramiro Zarate
Jaime Alzate
Andrés Bejarano
Abigail Rodriguez
Gonzalo Palacios
Ramiro Rael
Carlos Giraldo
Eduardo Cardenas
Chuy Cañete
Alejandra Sepúlveda
Alfonso Corona
Omar Camacho
Iván Hernández
Jhon Gonzales
Efrain García
Jordán Maestas
Jose antonio Borrego
Alejandro Orta
Débora Alcántara
María eugenia Tello
Alberto Fernández
Emiliano Tirado
Berto Méndez
Pastor Triana
Francisca Paredes
José Ruiz
Hermenegildo Álvarez
David Martínez
Toni Carrillo
Martha Ramos
Santiago Saez
Héctor Vargas
María luisa Rivera
Nelly Cifuentes
Lorenzo Cervantes
Cristina Ferrán
Ulises Esparza
Germán Ozuna
Víctor Venegas
Baltasar Muñoz
Gervasio Quintero
José Sacristán
Esteban Benavides
Andrés Armengol
Ángel Córdova
Lisandro Gracia
Edgar Benavente
Juan Erazo
Delia Vásquez
Hernán Cortez
Gabriela Maldonado
Andrés Otero
Chucho López
Gerardo Caro
Luis Tenorio
Patricia Rodríguez
Óscar Montenegro
Dulce maría Varela
Silvio Rojas
Jorge Vidal
Luis miguel Valencia
Reyes Palomino
Teobaldo Sánchez
Cristian Rincón
Luis ángel Aznar
Fredy García
Urbano Rueda
Julián Olivárez
Zeferino Londoño
Cristhian Aguilera
Martin Luna
Alfredo Sala
Aurora Pérez
Román Patiño
Elvira Alemán
Germán Segura
Nicolás Dalmau
Juan Correa
Salma Loaiza
Yeni Osorio
Silvestre Calvillo
Chucho Arias
José Aguilar
Aureliano Azcona
Modesto Giralt
Guadalupe Carballo
Alfonso Rodríguez
Eutropio Fabregat
Mario Cerdán
José Rangel
Silvano Montoya
Frank Benítez
David Esquivel
Tomás Carbonell
Leonardo Reynoso
Bernabé Marroquín
Andrés Bernal
Lupe Rivera
Marco antonio Busquets
Óscar Barreto
Leocadio Ávalos
Sabas Molina
Luis Machado
Emilia Fonseca
Manolo Rojas
Natalia Sanabria
Rubén Tena
Hugo Hernández
Lilia Solorio
Abel Cózar
Brayan Padilla
Miguel Montes
Che Acuña
Gervasio Alzate
Calixto Díaz
Débora Castillo
Gustavo Esquivel
Luis Santiago
Amor Carballo
Glauco Sánchez
Ernesto Cañas
Ezequiel Sánchez
Lucho Rosales
Sosimo Moliner
Jordán De la crúz
Andrés Arnal
Salma Cid
Juan josé Curiel
John Escrivá
Arturo Redondo
Manu Rodríguez
Hernán Ruiz
Indira Lozano
Eider Gil
Jaime Álamo
Santiago Armas
Nadia Valle
Mayte Prieto
Juan Granados
Ruperto Concepción
Osvaldo Valderrama
Juan Covarrubias
Luis Soto
Sessa Mejía
Luis Serrano
Ángel Gil
Alberto Díaz
Jorge Pareja
Ignacio Treviño
Victorino Casillas
Abraham Gomez
Leonel Báez
Eduardo Moreno
Juan bautista Leiva
Gustavo Almansa
Rómulo Garrido
María cristina Arias
Carlos Soria
Arley Quiñones
Daniel Cadenas
Fernando Henríquez
Nicolás Román
Julio Lemus
Luis miguel Tirado
Ceferino Rivera
Tristán Segura
Andrés Arenas
Ignacio Avilés
Mario Valencia
Uriel Carreón
Mario Pedrero
Isaac Quiroz
Salvador Páez
Jenaro Iglesias
Soledad Terrón
Marino Martínez
Genaro Caldera
Toribio Ocampo
Antonio Enríquez
Domingo Fuente
Oswaldo Alba
Eduar Pacheco
Steven Tijerina
Ezequiel Madrigal
Silvano Díaz
Wilfredo Roma
Ángel Leiva
Óscar Canales
Carmelo Cabán
Leonardo Rivas
Máximo Tena
Lino Moreno
Jhonatan Blanco
Jaime Vásquez
Calisto Castro
Angelino Guerra
Rosario Pineda
Diego Acevedo
Xavier Llorens
Fausto Montes
José Jasso
Eloy Solsona
Alberto Paniagua
Gerson Quiroz
Abel Cardona
Abigail Galán
Alberto Suárez
Luis miguel Serrano
Clara Segarra
Abril Moreno
Carlos Anglada
Mercedes Nava
Toni Correa
Timoteo Ortega
Evelio Ayllón
Amílcar Zavala
Ana Galarza
Úrsula Malo
Sebastián Gabaldón
Camilo Pérez
María del carmen Aguirre
Epifanio Cortés
Agustín Palomo
Robinson Gómez
Fernando García
Cristian Hervia
Citlali Serna
José Silva
José Alcaraz
Fabio Villa
Mario Cano
Rodolfo Arellano
Sergio Hoyos
Óscar Olivares
Diego Zamudio
Andrés Girón
José Daza
Gonzalo Bastidas
Antonio Acevedo
Esmeralda Cózar
Jean Tejada
Wilfrido Mendoza
Edu Peña
Tito García
Oswaldo González
Jhon Zapata
Leonardo Acosta
Ángela Burgos
Noemí Ayala
Vasco Uriarte
Natalia Cuevas
Concepción Garmendia
Marcela Holguín
Abilio Ramos
Mario Menéndez
Matías Lozano
Benito Pizarro
Martin Canales
Andrea Olmos
Citlali Gil
Íñigo Riascos
Luis Iñiguez
Gabino Cabrera
Fernando Crespo
Armando Guardia
Jesús Pérez
Aurelio Magaña
Richard Jasso
Simón Marquez
Pánfilo Valcárcel
René Pulido
Teófilo Sanabria
Juan Carrillo
Cristóbal Hernández
Andrea Flórez
Jorge Cavazos
Natanael Carpio
Telmo Viña
Pamela Acevedo
Samuel Guerrero
Catalina Franco
Antonio Guevara
Matías Cabrero
Jorge Alvarez
Alexander Torres
Lucas Valenciano
Óliver Holguín
Junior Hinojosa
Alberto Verdugo
Amalia Herrero
Andrés Saavedra
Magdalena Mata
Henry Arriaga
John Toro
Tania Álvarez
Victoria Montalbán
Olga Segovia
Baudelio Guzmán
José Hernández
Lalo Quesada
Darío López
José Falcón
Carlos Porras
Ángel Jimínez
Hernando Villarreal
Saturnino González
Antonio Cárdenas
Adolfo Castrillo
José Arredondo
Arturo Rangel
Alexander Tamez
Débora Hidalgo
Hermenegildo Llorens
Tania Prieto
Carlito Solorio
Baltasar Covarrubias
Balduino Rodríguez
Adriana Rodríguez
Raúl Durán
Bernabé Bustos
Hilda Tovar
María cristina Silva
Miguel Solís
Carlos Londoño
Julio Vigil
Benjamín Collado
Esteban Rojas
Emigdio Expósito
Ana maría Rico
Marcio Camacho
Alfonso Marín
Kevin Alberola
Rafael Véliz
Wilfrido Romero
Asunción Mosquera
César Cuenca
Marcelo Aroca
Porfirio Roma
Emilio Palacios
David Becerra
José Rodríguez
Paco Vila
Leonardo Castro
Pablo Ortega
Severo España
Asunción Torres
Elpidio Preciado
Manuel Chacón
Juan josé Fernández
Ramón Perales
Alberto Hidalgo
Juan antonio Jódar
Luis Asensio
Alfredo Nazario
Jorge Cantú
Jairo Cuellar
Quirino Chacón
Kike Carranza
Antonio Hernández
Tomás Gordillo
Alexander García
Augusto Ramón
Daniel Cano
Samuel Ibáñez
Tomás Santacruz
Leonardo Villegas
Eligio Ferrer
Juan Bueno
Eduardo Mojica
Jairo Cardona
Manuel Gómez
Gustavo Grijalva
Fabián Riera
Stiven Collazo
Esteban Casas
Pilar Hurtado
Camilo Rojas
Andrés Riba
Alberto Chapa
Omar Rivera
Amalia Caicedo
Jaime Escalona
Fausto Montero
Rafael García
Remigio Garay
Guillermo Montes
Francisco javier Nuñez
Albeiro Hinojosa
Javier Contreras
Virginia Haro
Alfonso Palacios
Felix Girón
Gil Zepeda
Armando Morales
Enrique Gaitán
Alfonso Lovato
Jose antonio Casárez
Emigdio García
Hector Sánchez
Andrés Alvarado
Carlos Herrera
Fernando Valentín
Andrés Parra
Sara Galvez
Daniel Adadia
Alta  gracia Restrepo
Heriberto Mojica
Eliecer Cabezas
Alberto Flórez
Alberto Jaramillo
Marcos Gutiérrez
Luis Cordero
Domingo Cárdenas
Venceslás Castrillón
Gabriela Sola
Isabel Anguita
Efraín Marquez
Miguel Giraldo
Silvio Cruz
Aida Suárez
Hernán Patiño
Cebrián Haro
Gilberto Gurule
Alberto Ruiz
Álvaro Madera
Javi Verdugo
Fredy Hoyos
Esparta Castrillón
Frida Bustos
Carlos Aguilar
Iván Carrasco
Carlos Bermúdez
Gabriel Zapata
Benito Leal
Edgardo Montoya
Camilo Abascal
Gilberto Miranda
Alberto Parra
Guillermina Galindo
Fabricio Puerta
Dulce Linares
Jhoan Quiroga
Silvia Solís
Raúl Villaseñor
Hernán Estrada
Federico Polo
Atilio Machado
Carolina Navarro
Concepción Arellano
Benjamín Montes
Jhon Montalvo
Sandra Cabrera
