Afonso Amoa
Nicholas Otiwa
Fernando Paiva
Paul Otiwa
Philip Bonsra
Yaw Batista
Micael Duah
Kojo Barros
Stanley Wiafe
Marcus Branco
Simão Pinho
Fiifi Faria
Wilson Lourenço
Gaspar Simões
Yaw Torres
Álvaro Carneiro
Lourenço Kusi
Graham Leite
Xavier Araújo
Márcio Oliveira
Terence Lopes
Eduardo Jesus
Tomé Amaral
Fernando Mendes
Alexander Gaspar
Nigel Amorim
Valentim Faria
Fábio Leite
Ivo Otuo
Benjamim Melo
Adrian Afoakwa
Eduardo Yawson
Eric Danso
Lucas Batista
Mark Nti
Tomás Mensa
Arthur Teixeira
Mário Lourenço
Jeremy Akoto
Shaun Valente
Aaron Darko
Isaac Ampofo
Samuel Marques
Sam Ankra
Malcolm Yaamoa
Jake Henriques
Raymond Baptista
Malcolm Baptista
Bruno Garcia
Miguel Antwi
Abeiku Sarpong
Luca Ribeiro
Nelson Mensah
Artur Boakye
Salvador Campos
Adrian Oti
Antony Agyare
Dinis Mensah
Álvaro Boateng
Jeffrey Antwi
Carlos Bona
Anthony Antwi
Arthur Gomes
Kévim Fernandes
Mathew Assunção
Edward Adomah
Vasco Monteiro
Gabriel Owusu
Dennis Ansa
Stanley Sá
Bernardo Prempeh
Brian Lima
Kwadwo Tawia
Alexandre Agyemang
Cristiano Matias
Henry Safo
Gonçalo Otuo
Akwasi Morais
Santiago Nyantakyi
Oliver Esteves
Tomás Henriques
Simão Safo
Ismael Neto
Simon Correia
Joseph Nunes
Emanuel Pereira
Frank Boadu
Edward Maia
Kwabena Otiwa
Frederico Barbosa
Derrick Nunes
David Maia
Gerald Amaral
Jeffrey Correia
Mário Asante
Phillip Danso
Julian Yeboah
Bruno Boakye
Rafael Gaspar
Gonçalo Gyasi
Emanuel Omani
Francis Asamoah
Steven Asamoa
José Opuku
Kujoe Amoasi
Guilherme Pereira
Kévim Pacheco
Josiah Otiwa
José Fernandes
Mauro Ansa
Gaspar Adutwum
Bruce Domingues
Miguel Araújo
Denis Miranda
Martim Pacheco
Vincent Vaz
Dennis Azevedo
Gordon Ampadu
Ivan Yeboa
Jeffrey Anjos
Danny Barros
Lourenço Faria
Mauro Ampofo
Diego Yeboah
Jack Miranda
Fábio Ntiamoa
Rodrigo Adomako
Afonso Yaamoa
Jeremy Akyeampong
David Oliveira
Gabriel Faria
Alexander Ansa
Bruno Nkrumah
Clifford Batista
Igor Otiwa
Denis Paiva
Malcolm Koomson
Mauro Appiah
Eric Neves
Colins Cardoso
Kevin Nyame
Timothy Rodrigues
Michael Baptista
Bryan Baptista
Duncan Adu
Arthur Baah
Gaspar Opoku
Jack Nkansa
Colins Akyerεko
Leandro Baafi
Kwaku Oppong
Jonathan Carneiro
Eduardo Vieira
Leandro Carvalho
Kevin Fernandes
Noa Baa
Bernard Macedo
Sérgio Andrade
Rafael Amoako
Josh Gonçalves
Bruce Yaamoa
William Magalhães
Eduardo Karikari
Akwesi Asare
Henry Amponsah
Patrick Nkrumah
Robert Abreu
Ricardo Amo
Alexander Carneiro
Valentim Cunha
Francisco Pinho
Christian Mendes
Nigel Correia
Frederick Amponsah
Ivan Asenso
Jake Andrade
Brian Pacheco
Sérgio Guerreiro
Malcolm Ahortor
Jaime Correia
Martin Boahen
Salvador Nunes
Tomás Mensa
Micael Loureiro
Vicente Lima
Yaw Ramos
Marco Azevedo
Benjamim Miranda
Frank Ntim
Jason Akowua
Vítor Asamoah
Max Fosu
Nicholas Teixeira
Joaquim Abreu
Marcus Cunha
Alexandre Nkrumah
Gregory Karikari
Dinis Carvalho
Leandro Badu
Lisandro Ramos
Arthur Barbosa
Henry Nogueira
Kwaku Takyi
Mark Oppong
Isaac Asiama
Gil Oti
Nigel Andorful
Gustavo Boaten
Tony Marques
Bryan Fonseca
Graham Ankra
Frank Bona
Sebastião Takyi
Patrick Oti
Paul Matias
Philip Fernandes
Dennis Sá
Lawrence Acheampong
Stanley Lima
Rúben Maia
Russell Agyei
Adam Antwi
Wilson Asenso
Kevin Agyemang
Duncan Adutwum
Valentim Nkansa
Denis Tawia
Colins Correia
Sandro Agyemang
Nuno Nyame
Guilherme Domingues
Salvador Kusi
Filipe Awuah
Daniel Acheampong
Ricardo Torres
Bruce Wiafe
Denis Brito
Vicente Henriques
Kojo Acheampong
Rúben Donkor
Kevin Oliveira
Gerald Boadu
Henry Tweneboa
Nelson Sá
Joel Boadi
Peter Marques
Noa Twumasi
George Cardoso
David Almeida
Sandro Oppong
Malcolm Fernandes
Gabriel Lopes
Marco Alves
James Machado
Frederick Akyerεko
Tony Leal
Akwesi Pereira
Dennis Boadu
Fernando Batista
Leslie Amo
Roger Baah
Joseph Vaz
Miguel Baptista
Artur Campos
Vítor Ferreira
Shaun Prempeh
Bryan Cardoso
Fábio Correia
João Nsia
Andrew Ankra
Victor Azevedo
Benjamin Baa
Thomas Boadu
Leandro Pinto
Rui Asamoah
Louis Pacheco
Yaw Figueiredo
Vítor Yeboa
Marcus Rocha
Edgar Brito
Cristiano Asamoa
Mateus Rodrigues
Ivan Miranda
Denis Moreira
Kevin Pacheco
Mateus Cardoso
Sérgio Nkrumah
Justin Almeida
Antony Opuku
Kévim Barbosa
Paulo Amorim
Rúben Nyaako
Nelson Castro
Diogo Bona
Jake Martins
Xavier Gaspar
Matias Appiah
Marcos Borges
Ekow Moreira
Filipe Nascimento
Jaime Abreu
Kwabena Otiwa
Fábio Baawia
Isaac Macedo
Renato Almeida
Fábio Nyantakyi
Frederico Machado
Kwabena Appia
Dominic Ntiamoa
Emanuel Asamoa
Valentim Azevedo
Timothy Paiva
Gordon Adusei
Samuel Amo
Afonso Nyame
Joaquim Tutu
Clifford Yeboah
Michael Batista
André Carvalho
Malcolm Asiama
Leslie Borges
Paul Agyei
Pedro Ofori
Russell Prempeh
Paulo Agyapong
Bernard Fofie
Bruno Cardoso
Samuel Amoasi
Mário Ofori
Leandro Moura
Joe Baa
Stanley Opuku
Kojo Leal
William Torres
Roger Appiah
Dominic Yawson
Pedro Martins
Phillip Yawson
Joel Barros
Dominic Bonsu
Paul Ferreira
Daniel Esteves
Igor Nogueira
Isaac Agyapong
Valentim Amoako
Gonçalo Badu
Cristiano Correia
Harry Adusei
Albert Ansa
John Boateng
César Rocha
Kwabena Tweneboa
Derrick Bonsra
Enzo Okyere
Tomás Yeboa
Isaac Teixeira
Márcio Teixeira
Lisandro Amponsah
Diego Campos
Frederico Cardoso
Ângelo Barros
Adrian Amaral
Kweku Neves
Francis Castro
Douglas Tawia
Bryan Araújo
Vicente Kyei
Yaw Rocha
Miguel Boadi
Graham Nunes
Julian Borges
Colins Jesus
Mauro Asante
Nigel Ahortor
Hugo Maia
Phillip Daako
Afonso Assunção
Jake Kwarteng
David Danso
Simão Domingues
Marco Vieira
John Borges
Francisco Ntim
Jason Ata
Kujoe Ansa
Ronald Rodrigues
Martim Amponsah
Malcolm Mota
Joshua Okyere
Kujoe Bonsra
Daniel Borges
Vicente Faria
Joel Branco
Andrew Fonseca
Denis Nascimento
Hugo Tweneboa
Mauro Marques
Martin Silva
César Borges
Jack Cruz
Jake Ankra
Gerald Mendes
Paulo Matias
Carl Valente
Micael Branco
Charles Safo
Francisco Appia
Jeffrey Brito
Micael Castro
Kwamena Andrade
Roger Boateng
Daniel Coelho
Carlos Santos
George Maia
Paulo Cardoso
Joel Akoto
William Donkor
Dominic Yirenkyi
Sérgio Macedo
Louis Akyena
Victor Morais
Abeiku Adu
Richard Akyeamfuɔ
Samuel Esteves
Paulo Fonseca
Brian Valente
Igor Daako
Marco Nsia
Josiah Tawia
Russell Donkor
Daniel Akyeampong
Pedro Danso
Ismael Vieira
Kwame Azevedo
Renato Branco
Abeiku Carvalho
André Esteves
Kofi Antunes
Salvador Karikari
William Torres
Dominic Garcia
Douglas Pereira
Bryan Branco
Raymond Pacheco
Tiago Agyare
Bruno Nsia
Edgar Mendes
George Esteves
Samuel Twumasi
George Freitas
Marco Melo
Kevin Fofie
Xavier Moreira
Tony Lourenço
Gil Koomson
Diego Darko
Lisandro Pinto
Donald Santos
Mathew Asante
Gil Amoasi
Charles Amorim
Yaw Torres
Ricardo Obeng
Ekow Lima
Martim Anjos
Christian Agyapong
Santiago Faria
Lisandro Campos
Antony Barros
Matias Badu
Ricardo Oppong
William Miranda
Abeiku Baah
Kevin Andrade
Mark Adutwum
Adam Yeboa
Marco Agyare
Álvaro Gomes
Ricardo Fofie
Mauro Castro
Vicente Maia
Charles Karikari
Tony Fosu
Leslie Omani
Tom Baptista
Jonathan Ata
Matias Osei
Diogo Amorim
Xavier Andrade
Tony Amo
Noa Campos
Rui Nyaako
Gaspar Barros
Filipe Darko
Rodrigo Agyei
Samuel Barbosa
Shaun Baah
Joshua Cardoso
Ângelo Faria
Bruce Ampofo
Victor Fosu
Victor Almeida
Gustavo Costa
Tomé Magalhães
Timothy Akyeampong
Isaac Carvalho
Fernando Sousa
César Owusu
Manuel Ferreira
Dominic Osei
Kwadwo Nsia
Fiifi Lima
Filipe Domingues
Adam Akyeampong
Joel Adusei
Tomás Esteves
Eduardo Rodrigues
Diogo Opuku
Gabriel Agyemang
Martin Martins
Vítor Pacheco
Lourenço Ankra
Duncan Leite
Roger Alves
Shaun Asamoah
Ivo Simões
Douglas Amorim
Micael Correia
Eduardo Sarpong
Alexandre Teixeira
Rui Opoku
Vicente Ahortor
Albert Fonseca
Terence Danso
César Fonseca
Philip Machado
Roger Lima
Stanley Freitas
Arthur Ofosu
Jaime Costa
Eduardo Yawson
Rui Costa
Daniel Melo
Adrian Carneiro
Shaun Lima
Bruce Martins
Fábio Nti
Frederick Santos
Patrick Kyei
Akwasi Vicente
Ivo Jesus
Valentim Safo
Sandro Mota
Álvaro Afoakwa
Marcos Coelho
Jaime Azevedo
Kweku Garcia
Christian Ampadu
Abeiku Fosu
Bryan Fofie
Artur Rocha
Joshua Oti
Kévim Pacheco
Gabriel Tutu
Antony Agyemang
Nelson Marques
Russell Adu
Andrew Kusi
Thomas Baa
Jason Amponsah
Luca Azevedo
Emanuel Nkrumah
Clifford Boahen
Salvador Simões
Adam Opuku
Marcus Gyasi
James Fonseca
Ivan Fernandes
Francisco Amo
Francis Macedo
Benjamin Torres
Afonso Valente
Fiifi Matos
Kweku Castro
Kevin Marques
Gabriel Danso
Cristiano Vaz
Charles Safo
Jaime Osei
Daniel Amo
Jeffrey Adusei
Kwasi Vaz
Shaun Gomes
Brian Moreira
Frank Oliveira
Micael Kusi
Gerald Moura
Gerald Azevedo
Benjamim Nunes
Gaspar Leal
Matthew Amorim
Marcus Paiva
Julian Valente
Fiifi Asare
Alexander Kusi
Jonathan Asiama
Ângelo Amo
Daniel Sousa
Gerald Tutu
Ronald Afoakwa
Gregory Fonseca
Noah Martins
Noa Borges
Sérgio Nogueira
Jeremy Darko
Edgar Vaz
Joel Ramos
Jake Vieira
Samuel Gyasi
Kwame Afirifa
Valentim Appia
Tony Cunha
Kwadwo Neto
Patrick Leal
William Akyeampong
Andrew Ferreira
Santiago Ankra
Thomas Barbosa
Donald Agyemang
Joshua Boakye
Victor Assunção
Frank Melo
Kevin Dwamena
Leonardo Barros
Kojo Yeboah
Benjamim Anjos
Denis Adusei
Ricardo Mensah
Christian Yeboa
Sebastião Rodrigues
Bruce Adomako
Elliott Mendes
Frederick Wiafe
Eduardo Akowua
Leonardo Adomako
Tom Costa
Bryan Batista
Stephen Monteiro
Paulo Baafi
Francisco Duah
Kyle Yeboa
Arthur Koomson
Alexander Gonçalves
Kwabena Simões
Gerald Gonçalves
Francisco Tawia
Márcio Teixeira
Isaac Antwi
Afonso Cunha
Luís Carvalho
Ekow Asamoa
Arthur Kyei
Francisco Nyame
William Fonseca
Jake Tawia
Josiah Ribeiro
Diogo Mendes
Derrick Pinho
Clifford Gyamfi
Álvaro Lima
Guilherme Ansa
Donald Nsia
Denis Amo
Andrew Moura
Mark Rodrigues
Lucas Tavares
José Duah
Wilson Gaspar
Peter Nyantakyi
Luís Leal
Isaac Santos
Stephen Soares
Jaime Kwarteng
Tony Assunção
William Twumasi
Santiago Branco
Terence Prempeh
Ronald Vaz
Martin Cardoso
Robert Ofosu
Diogo Neves
Harry Owusu
Justin Reis
Cláudio Badu
Martim Oppong
Vasco Nyame
Kwaku Baafi
Ângelo Anokye
Salvador Pereira
Denis Agyapong
Bruno Osei
Kevin Ankra
Emanuel Mota
Henrique Ramos
Fiifi Akoto
Xavier Pires
Ivan Marques
Cristiano Marques
Miguel Tweneboa
Joojo Nkansah
John Agyemang
Martin Miranda
Patrick Bonsra
Pedro Gyasi
Enzo Campos
Mário Assunção
Kofi Coelho
Eduardo Assunção
Carlos Yeboah
Roger Baawia
Xavier Cardoso
Oliver Ribeiro
David Antwi
John Sá
Alexandre Mendes
Henrique Anjos
Igor Freitas
Bernard Branco
Nicholas Akowua
Leonardo Leal
Charles Tavares
Gonçalo Asante
Adrian Ata
Lisandro Vicente
Diego Nti
Adam Abreu
Samuel Oppong
Martim Teixeira
Russell Adu
Russell Kyei
Bruno Azevedo
Antony Lopes
Oliver Asiedu
Shaun Yaamoa
Kwame Yawson
Vítor Asante
Graham Loureiro
Kévim Campos
Kevin Akyeampong
Ricardo Mendes
Eduardo Martins
Filipe Anokye
Marcos Yeboah
Diogo Prempeh
Kujoe Nsia
Roger Miranda
Thomas Moreira
Christian Correia
Jaime Magalhães
John Darko
Rui Amoako
Harry Oliveira
Luís Faria
Micael Moura
Vincent Figueiredo
Kenneth Yeboah
Gonçalo Antwi
Samuel Appiah
Abeiku Asiedu
Stephen Amo
Elliot Acheampong
Shaun Boaten
James Jesus
Jeremy Moreira
Tomás Teixeira
Francisco Tavares
Dennis Leal
Sebastião Osei
Santiago Neves
Joe Duah
Cláudio Cardoso
Graham Torres
Frank Asamoa
Max Fonseca
Ben Soares
Oliver Azevedo
Kevin Acheampong
Adrian Asamoa
António Martins
Hugo Paiva
Ivan Reis
Luca Fofie
André Ata
Lucas Batista
Dinis Kyei
Filipe Andorful
Louis Reis
Mathew Ofori
Steven Andrade
Kujoe Alves
Jake Anokye
Christian Nkansa
Justin Silva
Samuel Adutwum
Dinis Baawia
Ricardo Branco
Kwabena Ankra
Jeremy Amoasi
Lourenço Agyare
Philip Neves
James Soares
Mateus Agyare
Patrick Asante
Pedro Nascimento
Ben Alves
Russell Adutwum
Bruno Bona
Martim Amorim
Emanuel Vaz
Eduardo Oliveira
Daniel Sarpong
Benjamin Magalhães
José Asare
Mário Yirenkyi
Pedro Marques
Howard Branco
Martin Matos
Henrique Costa
José Acheampong
Jeffrey Asenso
Luca Gaspar
Fábio Oliveira
Dominic Fofie
Mateus Batista
Patrick Anjos
Alexander Kwarteng
Gregory Moreira
Marco Takyi
Alex Almeida
Jorge Batista
Alex Simões
Elliott Danso
Dominic Assunção
Abeiku Sá
Álvaro Akyena
Elliot Figueiredo
Duarte Pacheco
Nelson Simões
Kenneth Danso
Ronald Faria
Jonathan Coelho
Alexander Agyemang
António Vieira
Donald Gyamfi
Simão Adomah
Philip Yeboa
Kwame Pinho
Kujoe Boahen
Álvaro Pinho
Kwame Melo
Jaime Borges
Eduardo Reis
Roger Omani
Tomás Tweneboa
John Machado
Dennis Simões
Martim Sá
Rodrigo Gomes
Max Ata
Steven Anjos
Shaun Garcia
Alexander Kwaakye
Dinis Baptista
Wilson Nsia
Santiago Macedo
Henrique Afirifa
Santiago Martins
Edward Yawson
Francisco Darko
Nelson Assunção
Bernardo Pacheco
Jack Macedo
Thomas Pereira
Lucas Prempeh
Brian Matos
Kwamena Neto
Martim Nyantakyi
Nelson Anjos
James Coelho
André Oliveira
Carlos Safo
Filipe Bonsu
João Boateng
Shaun Nkansa
Isaac Kwaakye
Phillip Agyare
Yaw Daako
Graham Miranda
Stephen Kusi
Fernando Alves
Kévim Gaspar
Cristiano Assunção
Brian Baafi
Jack Osei
Kevin Neves
Roger Monteiro
Gaspar Akowua
Anthony Brito
Daniel Mendes
César Tweneboa
Arthur Fosu
Gustavo Correia
Matias Garcia
Jacob Akyena
Jack Mendes
Bernard Yirenkyi
Jeffrey Twumasi
Cláudio Lourenço
Isaac Baafi
Kwadwo Alves
Cristiano Kusi
Guilherme Badu
Bernardo Valente
Sebastião Vieira
Ivo Ntiamoa
Donald Boadu
Artur Borges
Sam Kyei
Brian Jesus
Yaw Neto
Vasco Dwamena
Victor Gonçalves
Gonçalo Lima
Patrick Ofori
Andrew Boaten
Leslie Barbosa
Fiifi Adomako
Pedro Asamoa
Artur Acheampong
Phillip Brito
Denis Monteiro
Paulo Akyena
Albert Cunha
Edgar Costa
Graham Matos
Tomé Agyare
Louis Yaamoa
Martin Azevedo
Paulo Tawia
Matias Anokye
Bruno Badu
Ben Morais
Philip Figueiredo
Diego Ramos
Alex Leite
Vicente Rocha
Igor Adomah
Lucas Antwi
Leonardo Guerreiro
Hugo Afirifa
Carl Adutwum
Tiago Leal
Gaspar Carneiro
Carlos Ntim
Bruce Campos
Hugo Bona
Francisco Torres
Gustavo Ribeiro
Russell Quartey
Frank Boahen
Lourenço Abreu
David Fofie
Diogo Adutwum
José Yirenkyi
Vasco Ankra
Kweku Anjos
Joe Oppong
Dennis Asamoah
Diego Cruz
Donald Brito
Denis Coelho
Henry Donkor
Isaac Sarpong
Louis Ahortor
Philip Ofori
André Amaral
Simon Correia
Luca Matos
Kojo Otiwa
Richard Sousa
Vincent Mota
Ângelo Pacheco
Peter Daako
Martim Darko
Ivan Asiama
Terence Opuku
Malcolm Agyei
Wilson Barbosa
Leandro Lima
Elliot Campos
Douglas Ramos
Arthur Loureiro
Matthew Wiafe
Kevin Gonçalves
Lawrence Kusi
Bernardo Martins
Márcio Ahortor
Russell Morais
Xavier Duah
Stephen Danso
Samuel Appiah
Paul Fernandes
Peter Baptista
Karl Afirifa
Brian Adomah
Robert Oti
Ivan Cunha
Stephen Danso
Isaac Bonsra
Lisandro Acheampong
Rodrigo Miranda
Adrian Henriques
Kenneth Magalhães
Rafael Magalhães
Ângelo Leite
Louis Vieira
David Ofosu
Robert Kwarteng
Dinis Batista
Sam Ntim
Dinis Rocha
Kofi Baawia
Jack Ansa
Simon Ofosu
Aaron Vieira
Nuno Ahortor
Karl Pereira
Paul Cunha
Shaun Fosu
Vítor Tutu
Kevin Neves
Tiago Darko
Bruno Donkor
Micael Agyare
Stephen Agyei
Francis Nkrumah
Ivo Antunes
Shaun Kumi
Raymond Jesus
Rui Pereira
Albert Gaspar
Harry Agyei
Sebastião Gonçalves
Paul Bona
Noah Acheampong
Paul Ata
William Afirifa
Afonso Kwarteng
Henry Paiva
João Duah
Ismael Kyei
Salvador Fernandes
Jeffrey Amo
Kyle Leite
Marcos Osei
Nelson Donkor
Bernardo Morais
Edgar Amo
Michael Antwi
Daniel Gomes
Gil Lourenço
Sandro Nsia
Douglas Melo
Bernard Silva
Ivan Mensa
Jorge Domingues
Duncan Boadu
Ben Teixeira
Benjamim Obeng
Philip Ankra
Matias Kwarteng
Benjamim Agyemang
Abeiku Ntim
Lawrence Nyantakyi
Noah Afirifa
Nelson Mensa
Kwadwo Neves
Luís Rodrigues
Fiifi Dwamena
Akwasi Mota
Steven Batista
Igor Pacheco
Álvaro Amponsah
Kévim Guerreiro
Albert Figueiredo
Howard Sá
Kojo Fernandes
Joe Akowua
Paulo Yawson
Timothy Boadu
Jeffrey Appia
David Santos
Bruce Opuku
Ângelo Agyemang
Mathew Nkrumah
Sérgio Nkansa
Álvaro Ata
Gil Takyi
James Antwi
Tony Cunha
Kwame Otiwa
Álvaro Figueiredo
Dinis Otuo
Manuel Teixeira
Akwasi Coelho
Dinis Teixeira
Dennis Castro
Jason Bonsra
Tiago Kwaakye
Tony Leal
Lawrence Esteves
Duncan Pires
Ben Carvalho
Isaac Soares
Shaun Obeng
Richard Safo
Antony Lima
Fábio Neto
Rui Omani
Kwamena Kyei
Kevin Pacheco
Alexandre Daako
Duarte Moura
Francisco Costa
Jeffrey Twumasi
Marcus Rocha
Salvador Tavares
Jason Gonçalves
Ismael Matias
Richard Fofie
Alexander Antwi
Noa Daako
George Bonsu
José Gomes
Carlos Barbosa
Kevin Marques
Ismael Amaral
Aaron Otuo
Tomé Ahortor
Ben Antunes
Ivo Coelho
Manuel Otuo
Kévim Ntiamoa
Bruno Darko
James Dwamena
Noa Abreu
Alexandre Ferreira
Tomás Macedo
Guilherme Acheampong
Kweku Nyantakyi
Manuel Santos
Tomás Henriques
João Afoakwa
Miguel Cruz
Ricardo Duah
Russell Afirifa
Cristiano Akyeamfuɔ
Brian Danso
Duarte Sousa
Joojo Ribeiro
Noa Nkansah
Santiago Adomako
Samuel Adomah
Kwaku Nunes
Sandro Fofie
William Nkansa
Leslie Neto
Mark Omani
Micael Prempeh
Lawrence Yawson
Marcus Otiwa
Joaquim Akyena
Micael Duah
Francisco Pinto
Luís Simões
Kevin Macedo
Timothy Fonseca
Raymond Maia
Tomás Neto
Ângelo Agyapong
Brian Danso
Stephen Batista
Jeffrey Freitas
Malcolm Duah
Josiah Sarpong
Simon Pacheco
Lucas Carvalho
António Ramos
Ângelo Antwi
Benjamim Cruz
Luke Sarpong
Antony Magalhães
Terence Loureiro
Martim Agyemang
Abeiku Oti
Diego Nyantakyi
Henry Gaspar
Rafael Araújo
Sérgio Garcia
Sebastião Carvalho
Frederick Danso
Márcio Matias
Timothy Nkansah
Joel Adomako
Yaw Anjos
Kweku Brito
Jaime Ntim
Gabriel Azevedo
Tiago Correia
Gaspar Mensah
Tomé Campos
Duarte Osei
Terence Matos
Eduardo Nogueira
Isaac Valente
Leslie Cunha
Marcos Simões
Matthew Ansa
Carlos Sarpong
Matias Opoku
Vincent Baafi
Samuel Costa
Alex Barros
Rodrigo Baah
Max Fernandes
Gonçalo Costa
Julian Ferreira
Brian Ampadu
Tiago Cardoso
Howard Osei
Kujoe Rodrigues
Leandro Otiwa
Dennis Yeboa
Robert Ankra
Pedro Leal
Karl Duah
Emanuel Rodrigues
Sebastião Amponsah
Frederico Safo
Malcolm Coelho
Gaspar Okyere
Márcio Vaz
Márcio Guerreiro
Gaspar Andorful
Xavier Torres
Tiago Darko
André Gonçalves
Samuel Akyeampong
Lucas Fonseca
Thomas Brito
Micael Machado
Philip Boadu
Peter Castro
Pedro Mensah
Vicente Ferreira
Jeremy Acheampong
Nuno Ata
Tom Ampofo
Danny Sousa
Tomás Pacheco
Jorge Baptista
Sandro Sá
Diego Opuku
Michael Ankra
Sebastião Tawia
Simão Reis
Leandro Melo
Colins Barros
Elliott Otiwa
Richard Garcia
Diogo Agyei
Kwadwo Owusu
Kenneth Gyamfi
Danny Twumasi
Bruce Otiwa
Joe Prempeh
Joojo Nkrumah
Márcio Asante
Gonçalo Boateng
Guilherme Loureiro
Noah Tutu
Patrick Machado
Kojo Matos
Manuel Freitas
Rafael Torres
Clifford Kyei
Marco Almeida
Raymond Boateng
Kenneth Amorim
Emanuel Agyapong
Kweku Agyapong
João Barros
Xavier Koomson
George Koomson
Michael Martins
Lourenço Azevedo
Noah Domingues
Russell Nogueira
Kwadwo Fofie
Edgar Ntim
Aaron Gomes
Lawrence Akyerεko
Jeffrey Azevedo
Josh Reis
Fábio Nti
Enzo Agyapong
Ivan Takyi
Ivan Tweneboa
David Simões
Noa Almeida
Marco Neto
Gregory Pinheiro
Benjamim Obeng
Noah Adu
Ekow Ankra
Julian Kyei
Ivan Santos
William Kyei
Renato Pinheiro
Richard Amponsah
Vasco Amoa
Ivo Coelho
Edgar Ansa
Raymond Afoakwa
Kofi Adu
Santiago Boadi
Nelson Sarpong
Kévim Appia
Harry Soares
Vicente Valente
Vincent Mendes
Joojo Lima
Mathew Gonçalves
Bruno Amaral
Fernando Amo
Martin Yeboa
Marcus Garcia
Vincent Coelho
Kwesi Gonçalves
Kwaku Antunes
Roger Otiwa
Philip Ofosu
Ângelo Rodrigues
Josiah Opoku
Mathew Yirenkyi
Jake Akowua
Malcolm Ofosu
Nicholas Morais
Kwabena Loureiro
Kwasi Ferreira
Hugo Anjos
Edward Lopes
Álvaro Henriques
Jeremy Kumi
Lucas Miranda
Joe Koomson
Hugo Dwamena
Luís Omani
Joojo Pires
Vítor Torres
Renato Vaz
Sebastião Asante
Gil Maia
Akwasi Donkor
Filipe Nti
John Pereira
Paulo Neto
Pedro Freitas
Justin Appiah
Bruce Cruz
Carlos Andorful
Nathan Amo
Danny Fosu
Fernando Branco
Mateus Gyasi
Victor Mendes
Josiah Lima
Fábio Machado
Hugo Freitas
Tomé Quartey
Paulo Faria
William Boahen
Tom Gonçalves
Cláudio Paiva
Colins Awuah
João Gaspar
Stephen Akyeampong
Leandro Yirenkyi
Carlos Neves
Robert Figueiredo
Derrick Ramos
Luís Gyamfi
Brian Nkansah
Igor Anjos
Tiago Pereira
Leslie Quartey
Diogo Agyare
André Reis
Stephen Ntiamoa
Kwaku Branco
Antony Dwamena
Jack Kumi
Josiah Gonçalves
Robert Sousa
Josh Agyare
Bruno Kyei
Eric Borges
Stephen Adutwum
Leslie Sarpong
Adrian Faria
William Garcia
Timothy Domingues
Matthew Bona
Samuel Akyerεko
Kevin Adutwum
Ronald Esteves
Douglas Nkansa
Gustavo Akowua
Derrick Quartey
Tomás Neves
Sebastião Danso
Frank Ampofo
Abeiku Afirifa
Donald Koomson
Andrew Mensah
Luca Asare
Salvador Branco
Mauro Jesus
Francisco Nyame
Joel Asiama
Diogo Gonçalves
Bernardo Ferreira
Akwesi Monteiro
Afonso Nkansa
Edgar Moreira
Malcolm Assunção
Howard Mota
David Asamoa
Carl Mendes
Tiago Agyei
Kwadwo Wiafe
Márcio Koomson
Eduardo Amponsah
Luís Nunes
Julian Faria
David Boaten
Benjamim Esteves
Raymond Pinheiro
Isaac Oliveira
Jonathan Agyei
Gaspar Branco
Gustavo Paiva
Kevin Amo
Tomé Figueiredo
Nicholas Amorim
Bryan Badu
Gaspar Paiva
Dennis Paiva
Jaime Macedo
André Assunção
Cristiano Anjos
Clifford Dwamena
Joseph Neves
Mateus Yirenkyi
Leandro Antunes
Isaac Twumasi
Benjamim Amponsah
Paulo Macedo
Jonathan Yeboa
Isaac Amo
Thomas Nyaako
Jonathan Nti
Douglas Opuku
Sérgio Barros
Terence Nyame
Kevin Kwaakye
Martim Nascimento
Graham Appia
Leandro Carvalho
Joseph Wiafe
Marcos Rocha
Yaw Marques
Enzo Ampadu
André Baafi
Gerald Ata
Tony Leal
Gabriel Andorful
William Yirenkyi
Jeremy Fonseca
Peter Antwi
Daniel Adutwum
Albert Pacheco
Russell Asamoah
Dennis Lourenço
Wilson Amorim
Justin Asare
Filipe Domingues
Mateus Opoku
Valentim Ofosu
Luís Akoto
Rafael Donkor
Joseph Andrade
Kwabena Alves
Harry Marques
Joshua Amaral
Jaime Vaz
Noa Martins
Marcus Ampadu
Rúben Martins
Márcio Fofie
Arthur Gyamfi
Ivo Pinheiro
Jason Neto
Kwadwo Esteves
Gabriel Boateng
Kwame Boakye
Ângelo Opoku
Kujoe Pires
Diogo Yaamoa
Pedro Ahortor
Patrick Kwarteng
David Pires
Sérgio Barbosa
Henry Kwarteng
Jeremy Pinto
Gustavo Teixeira
Gordon Cardoso
Victor Barros
Harry Vaz
Douglas Sarpong
Vasco Baawia
Joel Asenso
Akwasi Reis
João Rocha
Ben Yeboa
Dennis Matias
Kévim Boahen
Bernardo Antwi
Santiago Nkansa
Michael Acheampong
António Adomako
Luís Campos
Joel Nogueira
Frederico Melo
Benjamim Cruz
Gonçalo Gyamfi
Henrique Neto
Ângelo Obeng
Hugo Tavares
Kujoe Otuo
Luke Gaspar
Kyle Maia
Aaron Pinto
Adam Agyare
Sandro Agyapong
Fábio Acheampong
Micael Gyamfi
Alexandre Pereira
Sandro Abreu
Kévim Tutu
Cláudio Nascimento
