Fidel Perdomo
Nelson Tamayo
Ismael Bas
Daniela Jaramillo
Demetrio Montemayor
José García
Juan pablo Galindo
Alexander Pardo
Luis Bravo
Esteban Camacho
Juan Rodríguez
Enrique Vilalta
Camilo Solera
Marcelo Roybal
Eloisa Carlos
León Palacios
Rosa Ramírez
Rafael Angarita
Wilfrido Moreno
Rodolfo Diaz
Emilio Riba
Xavier Ramón
Gerardo Ramírez
Federico Romo
Antonio Pérez
Onofre Zúñiga
David Álvarez
Mario González
Wendolin Dueñas
Salvador Arias
Mayte Pujadas
Cosme Alcaraz
Juan Gascón
Epifanio Zuluaga
Flavio Vaquero
Elena Leal
Ramón Salazar
Armando Sánchez
Gustavo Lovato
Mauricio Moya
Jose ramón Garrido
Emiliano Laboy
Antonio Haro
Aarón Benito
César Barragán
Armando Rojas
Andrés Llopis
Tomás Ocampo
Reina Tomás
Abraham Zapata
Mónica Camps
Sandra Fernández
Ana maría Velázquez
Balduino Ugarte
Marcela Ospina
David Ortega
Andrés Roybal
Miguel Molano
José Perera
Manuel Amaya
Diana Ardila
Jhon Vera
Florencia Barrientos
Orlando Redondo
Erasmo Cervera
Genaro Escribano
Daniela Pineda
Alberto Sandoval
Glauco Nieves
Ramiro Cabañas
Delia Tello
Benigno Gómez
Jordán Meléndez
Luis miguel Gómez
Cristian Laboy
Alexander Cano
Salvador Valencia
Javier Gibert
Jacobo Saucedo
Yeison Miramontes
Andrés Medina
Aurelio Daza
Bonifacio Ocampo
Lorena Villalba
Georgina Meléndez
Alfredo Arias
Héctor Márquez
Demetrio Mendoza
Dan Otero
Noemí Franco
María eugenia Gómez
Lorenzo Ramírez
Ferney Guillen
Jhon Moreno
Vasco Velázquez
Concepción Cortés
Noelia Palmer
Óliver Salazar
Verónica Francisco
Gustavo Enríquez
Natalia Quintero
Inocencio Jiménez
José Salom
Ismael García
Enrique Moreno
Jairo Villanueva
Teresa Velásquez
Cipriano Porcel
Donato Acevedo
Edmundo Forero
Pascual Contreras
Orlando Jaimes
Cornelio Meléndez
Plinio Arias
Cornelio Cisneros
Mauricio Calderón
Berto Bravo
Gustavo Feliciano
Marcos Zapata
Citlali Mesa
Samu Alfaro
Andrés Canet
Jhon Ulloa
Jordi Lasa
Jordán Cabrera
Sebastián Conde
Florencia Castaño
Nazario Ospino
Jhon Rincón
José antonio Sandoval
Hernán Lovato
Eugenia Tello
León Pera
Cesar Melo
Andrés Teruel
Paul Garzón
Isaac Tello
Andrés Valcárcel
Andrés Giraldo
Eloy Casado
Alejandra Hurtado
Andrés Velásquez
Carlos Roque
Juan Peres
Pepe Campillo
Pío Valverde
Asunción Blanes
Florencio Zorrilla
Calixto Campo
Mariana Tamayo
José Arellano
Graciela Ramírez
Robinson Batlle
Agustín Pérez
Brayan Acedo
Daniel Pérez
Alexander Vicens
Luis Ros
Pepe Carbajal
Carlos Gisbert
Alfonso Puente
Carlito Nogués
Asunción Mares
Héctor Armas
Luisa Ureña
León Melgar
Noemí Arellano
Cristal Correa
Diego Valladares
Gabino Gonzáles
Luis Rodríguez
Leoncio Cuervo
Saúl Mondragón
Gerardo Sotelo
Victoriano Mosquera
Camilo Ávalos
Julio Bayón
Fabián Mariscal
Rubén Quirós
Alberto Benavides
Camila Martínez
Adrián Romeu
Lázaro Olivo
Edisson Briseño
Mariana Castro
Alfonso Segovia
Abril Pomares
Félix Díaz
Débora Monsalve
Silvestre Soriano
Albert Miró
Carla Solano
Juan bautista Zamudio
Margarita Suárez
Jose carlos Tudela
César Garrido
Luis Salvador
Fidel Torres
Itzel Salazar
Héctor Toro
Rafael Cedillo
Barbara Ramón
Reynaldo Merino
Susana Ozuna
Rocío Ramos
Sandra Rodríguez
Hermenegildo Sans
Poncio Mosquera
Rodrigo De jesús
Arley Vázquez
Luis García
Tomás Agustí
Marcial Manrique
Fito Ramírez
Jesús Barrera
Curro Cárdenas
Severo Casares
Aida Navarro
Walter Posada
Milton Sánchez
Óscar Quiroz
Ruy Sanchez
Graciela Feijoo
Bernabé Griego
Norberto Gutiérrez
Martín Martínez
Pedro Aparicio
Rolando Correa
Norma Solano
Claudio Giralt
Oswaldo Padilla
César Cornejo
Silvia Díaz
Trinidad Tovar
Claudio Batista
Manuel Gálvez
Iván Ríos
Julio césar Perea
Jairo Regalado
Bernardino Rodríguez
Liliana Loaiza
Eric Losa
Teobaldo Cardenas
Joel Vaquero
Quirino Terán
Jose miguel Vilanova
Efraín Pabón
Amor Benítez
Wilson Portilla
Jorge Aguiló
Silvano Reyes
Bernabé Duarte
Rafael Franco
Melchor Carrillo
Ramón Alcaraz
Catalina Castellanos
Lupe Soliz
Urbano Regalado
Jairo Fernández
Joel Moreno
Mauro Muñoz
Trinidad Tomás
Guillermo Zapata
Andrés Caldera
Daniel Lozano
Felipe Rojas
César Somoza
Rubén Recio
Hernán Mena
John Mata
Paulina Pinto
Guillermo Vázquez
Joaquín Vargas
Rosa Arnal
Juan García
Jerónimo Blanch
Natalio León
Jose Garica
Tiburcio Sierra
Agapito Franco
Santiago Osuna
Lázaro Agustí
Ruy Gutiérrez
Arcelia Patiño
Yeison Ariño
Ciriaco Vargas
Wilder Jove
Gustavo Moreno
Alfredo Cardenas
Germán Gaona
Elkin Luna
Conchita Mantilla
Gonzalo Pelayo
Andrea Ureña
Aristides Rincón
Hermelinda Montez
Manolo Martínez
Cristian González
Daniel Monroy
Daniel Andrade
Herminio Zapata
Marcos Brito
Evaristo Rosell
Wilfrido Romeu
Diego Gaytán
Benjamín Toledo
Andrés Cornejo
Onofre Vall
Hilda Estévez
Leopoldo Mesa
Fabiola Restrepo
Luis Ruiz
Esperanza Salamanca
Camilo Urrutia
Leticia Mosquera
Bernabé Cintrón
Florentino Páez
Arturo Garzón
Fredy Guillén
Jesús Téllez
Anastasio Anaya
Judith Muñoz
John Ariza
Julián Rojas
Leopoldo Bolaños
Adalberto Ramón
Enrique Gutiérrez
Jair Ribera
Roque Marín
Paola Villa
Esther Granados
Jorge Escrivá
Gerardo Sedano
Carlos Padrón
Armando Goicoechea
Diego Osorio
Aarón Gómez
Noemí García
Roldán Cabán
Juanito Feijoo
Manuel Fuentes
Loreto Cortina
Amor Corredor
Andrés Bravo
Régulo Enríquez
Aitor Echeverría
Fernando Rojas
Concepción Ramírez
Liliana Flórez
Julia Muro
Javier Fabregat
Jonatan Santillán
Leonor Saldivar
Manuel Muro
Jose francisco Carbonell
José Exposito
Nicolás Reyes
Virgilio García
María luisa Ortega
Ricardo Donaire
Gabino Álvarez
Alirio Suárez
Teodoro Arriaga
Cecilio Chico
Fernando Carro
Gastón Castrillo
Santiago Galvis
Alexis Fuertes
Germán Romero
Jose antonio Calvet
Vinicio Giraldo
Jesús Rentería
Alonso Arévalo
Jimmy Bedoya
Fito Salinas
Camilo Tormo
Francisco javier Anguiano
Úrsula Gil
Antonio Flores
Luis Prada
Andrés felipe Juárez
Aarón Silva
Eric García
Humberto De jesús
Andrés Marrero
Manu Palacio
Teo Blanco
Luis Quiñónez
Rufino Fonseca
Claudia Navarro
Abel Garrido
Adriana Exposito
Nadia Perea
Sandra Rojas
Juan josé Rojas
Camila Arroyo
Ángela Guerrero
Nando Barrios
Julián Roman
Javi Alfonso
Enrique Razo
Francisco De la fuente
Edu Acosta
Carmelo Villa
Julián Quero
Pedro Chamorro
Hernán Marín
Agustín López
Noemí Ferrero
Sara Balaguer
Fidel Cortés
Rubén Zambrano
Elvia Hidalgo
Carlos Madrid
Victor Páez
Víctor Coronado
Isaac Tamayo
Marcos Chávez
Ariel Mantilla
Florencia Marín
Maximiliano Oquendo
René Arrieta
Enrique Porta
Victoria Morales
Mónica Molina
Martín Briseño
Fredy Villaseñor
Sergio Moreno
Venceslás Véliz
Jorge Sáenz
Marcos González
Edwin Gracia
Eduardo Solís
Arturo Toledo
Luis miguel Pérez
Alejandro Bosch
Mario Gibert
Lilia Santos
Rafael Olivares
César Portillo
Ramón Vásquez
Minerva Saiz
Zoé Noriega
Adán Riojas
José maría Galindo
Reina Sobrino
Bernardo Razo
Severiano Polanco
Mauricio Peláez
Jorge Contreras
Cebrián Tirado
Diana Vásquez
Nazario Cortés
Albino Español
Alexander Figuerola
Araceli Cid
Raimundo Cantú
Edu Bahena
Óscar Chávez
Iván Mascareñas
Javier Santiago
Moisés Ramos
Georgina Molina
Florentino Gutierrez
Iván López
Che Restrepo
Cayetano Lozano
Linda Cardona
Eugenio Cavazos
Cristobal Mur
Adolfo Rincón
Claudia Torralba
Javier Perea
Pedro De león
Luis Rosas
Concepción Zorrilla
Vito Hernández
Pedro Ródenas
Judith Becerra
Fernando Vallés
Reina Escobar
Jose angel Maldonado
Marciano González
Raúl Gallego
Mario Manrique
David Ornelas
Aureliano Briones
Martín Maldonado
Jesús Leiva
Fredy Salamanca
Carlos Pérez
Alonso Jiménez
Angelino Gastélum
Abilio Meneses
Ana luisa Caballero
Federico Solís
Eloy Fajardo
Julián Cerezo
Paulino Mesa
Pedro Ballesteros
Lorena Méndez
Raúl González
Arsenio Escalante
Luis Paredes
William Coronado
Juan Canet
Cristian Cortés
María del carmen Bañuelos
Marisol Guevara
William Benítez
Teobaldo Cuenca
Cristian Bravo
Esparta Vila
Gabriel Milla
Alfredo Piña
Rubén Múñiz
Daniela Cuesta
Sergio Mejía
Rosendo Marín
Marino Perdomo
Jose ramón Galarza
Rosa Paredes
Martha Rodríguez
Melchor Ayllón
Juan Aguayo
Fulgencio Negrete
Aureliano Luque
Lorena Murillo
Nadia Pineda
Iván Álamo
Jonás García
Clímaco Delgado
Raquel Camargo
Omar Blázquez
Iván Avilés
Joaquín Guillen
Adán León
Arturo Rivas
Loreto Arroyo
Alexander Zaragoza
Natividad Macías
Ismael Rueda
Tiburcio Huerta
Anderson Garza
Pepe Martínez
Celestino Ochoa
Carlos Millán
Cesar Castaño
Gabriel Fuentes
Lisandro Durán
Gil Trujillo
Rosario Suarez
Bryan Ortiz
Rebeca Marin
Jorge Vall
Pilar Segura
Minerva Chaparro
Linda González
Iván Vanegas
Clara Andres
Esperanza Montoya
Eligio Albero
José carlos Moll
José eduardo Codina
Carlos Salcedo
Emiliano Cervantes
Severiano Querol
Ignacio Castro
Antonio Blázquez
Carlos Carranza
Cristhian Otero
Mauro Pallarès
Xavier Campillo
Andrés Solana
Marisol Valenzuela
Ana luisa Luna
Claudio Sastre
Rodrigo Palacios
Estela Arguello
Bartolomé Ortega
Sergio Frías
Artemio Gascón
Alirio Moliner
Úrsula Carreón
Lucio Roma
Orlando Perelló
Antonio Navarrete
María del carmen Santos
Estela Briones
Eugenio Del río
Claudia Novoa
Sebastián Blanca
Rubén Melgar
Roldán Calderón
Adelardo León
Diego García
Heliodoro Samaniego
Juan Fabra
Alfredo Rodríguez
Leocadio Carrillo
Antonio Martínez
Dario Ulibarri
Jesús Muñoz
Eric Cáceres
Alberto Pina
Alexander Valverde
Ignacio Jaramillo
Hernando Huertas
Antonia Almanza
Iván Domínguez
Leonardo Vilalta
Quirino Tormo
Antonio Collado
Vicente Morales
Freddy Andrade
Orlando Casas
Carlos Escobar
Jesús Parra
Ángel Pacheco
Lucas Feliciano
Luis Andrade
Amalia Salcedo
Yuridia Robles
Aurelio Toledo
Alex Reguera
Alexander Medina
Carlos Medina
Brayan Oquendo
Cristian Abad
Andrés Llabrés
Antonio Martínez
Lázaro Palacios
Camila Monroy
Pánfilo Figueroa
Balduino Torres
Jhon Tovar
Natividad Ortiz
Jose antonio Bellido
María cristina Costa
Wilfrido Romero
Jeison Casárez
Emilia Valles
Blas Castells
Marisol Barros
Alejandro Hidalgo
Fabio Morales
Arley Jerez
Porfirio Morales
Curro Barrios
Úrsula Pinzón
Maximiliano Julián
Bernardino Ramírez
Vanesa León
Felipe Pozuelo
Hernán López
Aurelio Mariscal
Jenaro Perera
Juana Muñoz
Francisco Posada
Juan Font
Rodolfo Cerdán
Luis Parra
Duván Corredor
Camilo Ferrero
Omar Santiago
Hernán Alonzo
Isaías López
Leonel Aguirre
Olivia Vargas
Fidel Ruiz
Ciriaco Marrero
Marcio Ospino
Maximiliano Solsona
Fredy Cáceres
Hernán Sevilla
Samuel Barreto
Gregorio Zepeda
Jordi Pedrosa
César Henao
Héctor Barreto
René Lara
Aristides Cantón
Gregorio Farré
Fernando Martínez
Aureliano Salas
Nayeli Pol
Carlota Avilés
María teresa Serrano
Andrés Vaquero
Andrés Santacruz
Isabela Velásquez
José Gaona
Felipe Rojas
Hernán Ríos
Emilio Peña
Iván Laureano
Noemí Riba
Francisco javier Salgado
Isaías Rivera
Jaime Del río
Juan Macías
Serafín Vázquez
Luis Aragón
José Regalado
Ricardo Rueda
Hermenegildo Recio
Osvaldo Ruelas
Walter Pérez
Dulce maría Rivas
Luis Font
Catalina Porta
Linda Jaimes
Claudio Martínez
Octavio Arrieta
Balduino Perelló
Celestino Delgado
Abel Pardo
Silvio Gutiérrez
Cristal Río
Felipe Sánchez
Leoncio Anguiano
Simón Díaz
Armando León
Carlos Vargas
Elvia Lomeli
David Pérez
Jaime Rodríguez
Dani Solé
Miguel Torres
Diego Agudelo
Basilio Angarita
Cornelio Gracia
Ángel Naranjo
Salvador Martínez
María eugenia Ariza
Sebastián Henao
Camilo Cepeda
Esteban Araujo
Octavio Caballero
Raúl Ordóñez
Ceferino Valencia
Jorge Tejedor
Alma Peiró
Pablo Requena
Bernardo Méndez
Miguel Ruelas
Hector García
Demetrio Oquendo
Ramón Arias
Tadeo Trujillo
Humberto Salamanca
Jacobo Acevedo
Carlos Amaya
José Carrasco
Hugo Bermúdez
Teo Aranda
Ángel Parejo
Hernán Gómez
Poncio López
Raúl Abad
Aurelio Leon
Matías Echeverría
Antonio Cano
David Becerra
Aníbal Santacruz
Sancho Rodrígez
Leonel Granados
Jesús Viña
José Mascaró
Jairo Hinojosa
Andrés Rodríguez
Jairo Expósito
Nando Carbó
Elisa Benítez
Luís Silva
Antonio Hoz
Susana Saavedra
Dario Pereira
Sebastián Garmendia
Victoria Galindo
Elkin Garibay
Aureliano Batlle
Manuel Espinosa
Óscar Ulibarri
Toni Salazar
Samuel González
Antonio Rivero
Fernando Vaquero
Luis Díaz
Juan Becerra
José eduardo Reynoso
Ana luisa Figueroa
Luis ángel Paredes
Lucas Valdez
Álvaro Barrera
Bonifacio Fernández
Carmen Carranza
Dolores Santana
Francisca Silva
Federico Meraz
Gerardo Palacios
Leonardo Pérez
Ovidio Zamorano
Mauricio Martínez
Oswaldo Fortuny
Carlos Orjuela
Emilio Loaiza
Modesto Méndez
Carlos Perales
Jaime Amo
David Barrios
José Navarro
Óscar Serna
Dairo Jove
José Pacheco
Bernardo Vanegas
Rubén Partida
José Manzanares
Bernabé Guerrero
Josefina Sepúlveda
Emiliano Guevara
Minerva Moreno
Jose luis Longoria
Paola Villaseñor
Florentino Mireles
Amador Bastidas
Andrés Gisbert
Iván Nájera
Nadia Portillo
Emiliano Montenegro
Antonio Saura
Ofelia Laureano
Juanito Sobrino
Uriel Orjuela
Graciela Madrigal
Aurelio Ribes
Miguel García
Olivia Bahena
Daniel Montes
Jeremías Olvera
Enrique Arguello
Jhon Vázquez
Desiderio Cordero
Carlos Mejía
Raquel Caballero
Martín Rangel
Herberto Escalona
José eduardo Echevarría
Leopoldo Salazar
Erick Izaguirre
Carlos Tudela
Javier Ruelas
Heliodoro Venegas
Hugo Roque
Marisol Portero
Liliana Rueda
Dan Marcos
Donato Ortiz
Felipe Caballero
Basilio Cerro
Lope Palomar
Antonio Botello
Bruno Lucena
Wálter Uría
León Rivas
Luciano Salamanca
Úrsula Peñalver
Jhon Mena
José eduardo Barranco
Zacarías Navarro
Carlos Acevedo
Patricio Romero
Marcos Ayllón
Claudia Ruano
Ángel Orta
Asunción Caicedo
Elena Candelaria
Urbano Sarmiento
César Garrido
Genaro Acevedo
Dolores Sanabria
Edu Robles
Ilse Cortés
Vinicio Gimenez
Alberto Magaña
Mario Contreras
Máximo Prieto
Esmeralda Segura
Ramón Saura
Gerardo Rocamora
Valentín Polo
Florencia Martínez
Marisela Cervántez
Dario Castro
Raúl Correa
Elsa Barbosa
Maximino Díaz
Albino Torres
Alberto Quiroz
Vito Hernández
Edmundo Blanch
Eusebio Trujillo
Sonia Díaz
Minerva Barba
Cosme Roura
Cándido Perales
Cynthia Contreras
Julián García
Rafael Cifuentes
Lázaro Segarra
Rodolfo Orjuela
Gilberto Almonte
Oswaldo Sarmiento
Eloy Gutiérrez
Silvestre Orozco
Isaac Ortega
Eric Salas
Jhon Marí
Kike Barragán
Manuel Martínez
Hipólito Almaraz
José eduardo Barrera
Juan Ulibarri
Roque De la crúz
Pablo Rojas
Julián Gamboa
Chucho Falcón
Reynaldo Vergara
Juan francisco Elías
Catalina Peña
Eduardo Gómez
Gregorio Cabán
Angelino Valdivia
Roldán Alarcón
Álvaro Menéndez
Benito Orozco
Reynaldo López
Amancio Quezada
Antonio Beltrán
Gloria Pacheco
Pedro De la crúz
Luis Espitia
Jorge luis Bernal
Espiridión Riojas
Leopoldo Londoño
María Ramírez
Teodosio Polo
José Pérez
Leonardo Peres
Margarita Peña
Óscar Solano
Carlos Serrano
Gabino Casas
Patricia Sánchez
Asdrubal Rodríguez
Eutimio Soto
Uriel Hernández
Wilfrido Ramírez
Rómulo Heredia
Diego Durán
Lucas Rojas
David Ballesteros
Aureliano Ibarra
Linda Carlos
Amalia Barbero
Reynaldo Suárez
Citlali Mur
Alejandro Clavero
Ernesto Company
Enrique Arroyo
Carlos Durán
Karina López
Luis Borrego
Augusto Baena
Albert Centeno
Celia Gaona
Joel Armenta
Germán Murillo
Reyes Ariza
Luis Pérez
Mayte Guzmán
Benito Zamorano
Édgar Irizarry
Mariano Pinzón
Javier Roa
Jose ramón Tamez
Carlos Ozuna
Fredy Ospina
Guillermina Aguilar
Adalberto Escamilla
Maximino Correa
Wilson Rincón
Juan antonio Pelayo
Juan Gamez
Fito Torrent
Aurelio Vázquez
Bernardo Gaitán
Conrado Cardona
Cipriano Zuluaga
José Rojas
Victorino Aguirre
César Gutiérrez
Roberto González
Julián Espejo
Antonio Uría
Verónica Ramos
Graciela Cortés
Yeni Andrade
Angélica Cruz
Asdrubal Giralt
Javier Corrales
Rafa Sotelo
Darío Plaza
Wilmer Ruiz
Carlos Méndez
María eugenia Calatayud
Daniela Jiménez
Primitivo Donoso
Valero Herrera
Jesús Valencia
Guiomar López
Vicente Jiménez
Ricardo Lomeli
María elena Aguirre
Segundo Páez
Esparta Hurtado
Edu Tapia
Baldomero Baeza
Isaac Arana
Elias Sáenz
Jose miguel Reyes
Carlos Soto
Jaime Moliner
Edgar Contreras
José Candelaria
Carlos Aguiló
Fidel Navarrete
Gabino Izaguirre
Giovanny Bueno
Juan josé Muñoz
Fernando Barrientos
Rafael Rosas
Albano Pérez
Artemio Barbosa
Silvia Jiménez
Mariana Meléndez
Fabián Delgado
Alberto Uría
Carlos Hervás
Conchita Ramírez
Modesto Barragán
Samuel Ruiz
José manuel Casado
Alonso Pineda
César Grijalva
Jose antonio Barajas
Hugo Silva
Juan Garzón
Juan Matos
Germán Laboy
Luciano Rolón
Elena Gómez
Alta  gracia Treviño
Alejandro Gallardo
Gabriela Sierra
Trinidad Cervantes
Carla Figueroa
Sara Guerrero
Leoncio Berríos
Ignacio Aragón
Lorenzo Núñez
Juan Márquez
Valero Mármol
Alicia Mares
Itzel Jiménez
Fernando Mora
Elsa Velázquez
Kike Colón
Enrique Barreto
Zacarías Barragán
Moisés Prieto
Georgina Ureña
Albert Ramírez
Buenaventura Ruiz
Marisol Marroquín
Delia Naranjo
Silvio Sanchez
Cynthia Muñoz
Samuel Jáuregui
Concepción Iglesia
Marc Cortes
Jorge Palomo
Conchita Valencia
Johan Ortega
Graciano De jesús
Camilo Garcés
Jorge Camacho
José Losada
Camilo Barajas
Domingo Llobet
Fito Carvajal
Ignacio Badillo
José mari Figueroa
Itzel Arias
Reina Valenzuela
Augusto Hervás
José Caparrós
Hernán Mares
Miriam Molina
Dimas Rodríguez
Hugo Moliner
Tania Salamanca
Jaime Villanueva
Elías Torres
Luis Campos
Antonio Jiménez
Carlos Salazar
José ángel Carrasco
Luis Sauceda
Aldemar Gargallo
Edwin Muñiz
Jorge Alfaro
Ricardo Reséndez
Dulce Ordóñez
Pánfilo Martí
Aldo Ayala
Mauro Verdugo
Joan Bonilla
Clara Hernández
Mario Padilla
Sergio Moya
Alfonso Zapata
Marciano Rivas
Concepción Lebrón
Vicente Olivas
Chus Ferrando
Rodrigo Montaño
Rolando Polo
Olga Nieves
Modesto Pera
Emilio Bustos
Salvador Garcés
Antonio López
Yolanda Guardiola
Eduardo Alvarado
Arsenio Arce
Octavio Poza
Antonio Monroy
Hector Navarrete
Cristian Irizarry
Alex Ribas
Melchor Guitart
Enrique Vanegas
Arcelia Ojeda
Wilson Martínez
Arturo De la garza
Pío Barrera
Jordi Puente
Cornelio Rangel
Edward Galindo
Jorge Santacruz
Florentino Arias
Robert Querol
Jhon Moll
Freddy Olivares
Victor manuel Conesa
José Meza
Esneider Agudo
Nicanor Moles
Jordán Rojas
Ernesto Muñoz
Julio césar Madrid
John Garzón
Carmelo Valencia
Artemio Godínez
Pamela Fábregas
Silvano Alonso
Juan Padilla
Germán Mena
David Cid
Ramiro Gómez
Iván Marcos
Uriel Villa
José Mosquera
Edison Vizcaíno
Ricardo Arenas
Yair Zamudio
Segismundo Fuentes
David Olmedo
Jhon Castrillo
Elisa Miguel
Rebeca Montoya
Guillermo Linares
Claudio Vallejo
Leocadio Cortés
Violeta Córdova
Gilberto Guijarro
Emigdio Márquez
Martín Angulo
Rosario Bueno
Javier Armengol
Gil Barba
Francisco Blanco
Emilio Ortega
Jesús Rey
Patricio García
Luis Espitia
Fausto Burgos
Benjamín Salgado
Rodrigo Canales
Luis Navas
Esteban Terán
Edmundo Abella
Luis Garrido
Violeta Bayón
Esteban Ortiz
Andrés Gómez
Jorge luis Duarte
Citlali Barragán
Marc Jaramillo
Fabio Salvà
Camilo Gonzáles
Alberto Castejón
Abril Caicedo
Hugo Bárcena
Augusto Caraballo
Gervasio Aparicio
Telmo Córdoba
Fabio Ruiz
Catalina Viña
Mariano Revilla
José luis Gómez
Curro Rentería
Miguel Duran
Patricia Alcalde
María eugenia López
Alberto Cruz
Javier Cortina
Dalia Lugo
Florentino Narváez
Cornelio Arce
Alejandra Flórez
Pablo Mena
Gil Garza
Adán Torrents
Emilia Gomis
Álvaro Bosch
Gabriel Ospino
Francisco Quintero
Eduardo Granados
Hugo Velásquez
Helena Villanueva
Berta Castro
Cleto Alegre
Esther Triana
Alberto Maldonado
Arsenio López
Nelson Garcés
Sebastián Tijerina
Jacinto Benitez
Bernardo Gibert
Beatriz Benitez
Inocencio Vázquez
Rosalia Calderón
Carlos Luque
Teodoro López
María josé Figueroa
Juan francisco Ríos
Germán Araujo
Berto Bermúdez
Rosario Bellido
Jesús Perea
Cebrián Rodríguez
Jeisson Zapata
Abel Amorós
Natalia Meléndez
Pablo Urbina
Emiliano Agudo
Maximiliano Fuster
Roque Velásquez
Andrés Lillo
Alberto Gómez
Carlos Galindo
Paul Ontiveros
Edinson Sierra
Eutropio Nevárez
Pastor Calatayud
Alma Rojas
Dario Zaragoza
Teodosio Espitia
Jhon Meraz
Juan Baró
Ernesto Huguet
Samuel Avilés
Porfirio Costa
Christian Maestas
Nico Restrepo
Víctor Alarcón
José López
Lino García
Samuel Iglesia
Carlos Hurtado
Alfonso Quintana
Antonio Fernández
Geovanny Ballesteros
Luis Castillo
Francisco javier Beltrán
Fredy Antúnez
Gustavo Echeverría
Alberto Romero
José Barragán
Rodrigo López
Fabricio Jove
René Vega
Roberto Mesa
Luis Muñoz
Martín Manuel
Sergio Sánchez
Ibán Salgado
Erasmo Escrivá
Ofelia Ramírez
Edgar Ballesteros
José luis López
Jeremías Arrieta
Marcial García
Néstor Torrecilla
Leocadio Alegre
Benigno Polanco
Néstor Del río
Jacobo Herrera
Yuridia Paz
Pablo Alvarado
Miriam Alberto
María Leiva
Francisco Medina
Nicanor Ulibarri
Reinaldo Miró
Yolanda Asenjo
Linda Vargas
Patricio Corbacho
Ana Méndez
Juan Pinzón
Rafaél Villalpando
Óscar Alemán
Wálter Narváez
Yesid Herrera
Andrés Sanz
Bartolomé Roig
Rafael Merino
Calixto Soler
José Alcaraz
Leonardo Blanco
Albert Montero
Kevin Cano
César Ángel
Abraham Perales
Severiano Rincón
Mauricio Ledesma
Alejandro Dávila
Adriana Cabanillas
Fabiola Menchaca
Gervasio Meneses
Goyo Crespo
David Herrera
Henry Escobar
Barbara Cánovas
Luis Carlos
Cipriano Pedraza
Manuel Sánchez
Cristal Yepes
Manuel Alcolea
Edilson Alemán
Alexander Bernal
William Figuerola
Marc García
Mauricio Nava
Marcelo Roldan
Luis Rangel
Juan carlos Prieto
John Casado
Ibán Ribes
Donato Zamudio
Carlos Sandoval
Emilio Vallejo
Luis Coello
René Trujillo
Felipe Anglada
Jair Lobato
Alfonso Medina
Laura Morales
Orlando Archuleta
Raquel Crespo
Carlos Grande
Pamela Haro
Cornelio Ballesteros
David López
Carolina Jurado
Jordi Aguilar
Jhonatan Losada
Luis Moreno
Prudencio Maestre
Adolfo González
Augusto Vega
Jeison Estevez
José Gómez
Luis Torres
Alejandro Juan
Germán Olmos
Fernando Donoso
Mauricio Meléndez
Ale Corominas
Juan Mojica
Steven Piñol
Javier Sarabia
Jorge Correa
Álvaro Guerrero
Loreto Blanco
Julio Figueroa
Clemente Romero
James Parra
Andrea Flórez
Alejandro Morán
José Perales
Sandra Porta
Pedro Rivero
José mari Reséndez
Paulino Rodríquez
Andrés Roybal
Arturo Barranco
Gregorio Torres
Cecilia Gutiérrez
Luis Melo
Camilo Marín
Juan antonio Gómez
Germán Rincón
Diego Vargas
Ovidio Moreno
Che Díaz
Andrea Rincón
Héctor Menéndez
Andrés Mendoza
Juan Sarabia
Álvaro Rincón
Jorge Ocasio
Luciano Cáceres
Vasco Galeano
Leonardo Dueñas
Adriana Espejo
Cayetano Soto
José ángel Machado
Toribio Carreño
Susana Vega
Federico Santana
Alberto Belmonte
Diego Mosquera
Javier Gómez
Bianca Brito
Loreto Sales
Víctor Molina
Javi Blasco
Carlos Lira
Horacio Amorós
Mario Mateos
Edgardo Guerrero
Leocadio Valadez
Samuel Benavides
Luis Dueñas
Quirino Tafoya
José Merino
Salomón Morera
Gregorio Pinto
Alfonso Álvarez
Juan antonio Calderón
Enrique Heredia
Rodrigo Blanes
Irma Valencia
Glauco Casárez
Federico Castro
Virginia Centeno
Galo Barrios
Javier Macías
Cecilio Caldera
Héctor Roca
Juan carlos Anglada
Daniel Canales
Jesús Griego
Luis Duarte
David Serrano
Patricio Galvis
Trinidad López
Fernando Saavedra
Citlali Escamilla
Diego Jimínez
Adalberto Ybarra
Daniela Valdivia
Manuel Ríos
Nando De la o
Estela Amaya
Javier Quiroz
Mauricio Rodríguez
Guillermo De la garza
Miguel Manrique
Pilar Benavides
Juan Cruz
Danilo Carbajo
Sonia Arnal
Pascual Parra
Candelario Flórez
Juan bautista Álvarez
Leonardo Reséndez
Salvador Rangel
Josefina Suárez
Jonathan Jurado
Asunción Chávez
Luz Hernández
Carlos Alberdi
Magdalena Cruz
Alejandra Echeverría
Jordi Ordóñez
Pamela Pedrosa
Gonzalo Tello
Óscar Palacios
Camilo Velásquez
Orlando Gutiérrez
Diego Arias
Juan carlos Moreno
Roberto Menéndez
Rafaél Trujillo
Mauricio Durán
Elías Velasco
Rosario González
Felipe Becerra
Esteban Saavedra
Ricardo Mena
León Marín
Nacio Girón
Reynaldo Almonte
Plácido Carbonell
Leonel Candelaria
Hugo Perera
Fabio Camino
Francisco Altamirano
Felipe Leal
Arturo Alcala
Darwin Casals
Alfredo Romero
Conrado Terrazas
