William Osorio
Genaro Rodríguez
Alexis Camarillo
Indira Espinal
Ramiro Concepción
Isidoro Arrieta
Anacleto Chico
Marcela Ojeda
Pelayo Mena
Berta Pulido
Abilio Agustí
Marcos Molina
Paulina Gaitán
José ángel Calvet
Marcos Coll
Fortunato Cuervo
Mario Vendrell
Hernán Bustamante
Sessa Vega
Josefina Chapa
Julio Atienza
Diego Bilbao
Francisco Ulloa
Sonia Nájera
Pedro Cárdenas
Carlos Camino
David Coca
Eduardo Iñiguez
Ernesto Gargallo
Isabel García
Andrés Mora
Steven Herrera
Tristán Castro
Andrés Guerra
Valero Parra
Fernando Benavent
Celestino Aguirre
Rafaél Guerra
Andrés Mejía
Pablo Galarza
Albino Soler
Claudio Casanova
Natalia Ozuna
Calixto Mantilla
Nilo Carmona
Cynthia Folch
Ricardo Río
Samu Benítez
Régulo Alcántar
Guillermo Gaitán
Leandro Hernández
Mauro Haro
David Velásquez
Fausto Macías
Abel Pina
Faustino Montenegro
Edinson Doménech
Aurelio Mojica
Amelia Cuéllar
Abraham Tomás
Segismundo Bétancourt
Carlos Ponce
Claudio Nieto
Luis Tafoya
José Serrano
Baltasar Méndez
Raúl Ríos
Gilberto Crespo
Carlos Andres
Carlota Armendáriz
Claudia Téllez
Linda Riojas
Germán Aragón
José Ibarra
Nico Aparicio
David Pérez
Evelio Rivera
Mario Escobedo
Óscar Sevillano
Nicanor Ruiz
Eloy López
Germán Toledo
Agapito Acosta
Carlos Trujillo
Edilson Pombo
Buenaventura Venegas
José Carreño
Tania Valentín
Abraham Ardila
William Valenzuela
Sebastián Esteban
Xavier Canals
Segismundo Rivera
Miller Rodríguez
Valerio Gómez
Hernán Nájera
Adolfo Nájera
Eder Carrasco
Balduino Caballero
Leocadio Chico
Salvador Herrero
Jaime Rodríguez
César Santillán
Ernesto Madrigal
Irma Pi
Dolores Jasso
Luis Lledó
Alejandro Villa
Timoteo Aguilar
Lorena Meléndez
Felipe Aguirre
Jairo Pozo
Juan luis Pallarès
Dario Restrepo
Herberto Puente
Vicente Reséndez
Trinidad Monroy
Mateo Gómez
Irene Belmonte
Ángel Soto
Curro Collado
Balduino Porta
Reynaldo Sáenz
Artemio Oliver
Primitivo Ramos
Arturo Ballesteros
Miguel Pinto
Enrique Badillo
Guillermo Jaén
Arley Rendón
Jesús Urrutia
Alonso Moles
Édgar Nogueira
Guillermo Burbano
Yair Barreto
Manuel Velázquez
Juan Roybal
Lupe Arias
Gerónimo Pablo
María cristina Naranjo
David Lozada
Jefferson Cantú
Carlos Posada
Juan Cruz
Reina Morales
Alberto Villalobos
Tulio Carrillo
Anderson Cabo
Laura Navarro
Sergio Zelaya
Zacarías Clemente
Juana Alvarez
Andrés Rivas
Leoncio Cruz
Ricardo Ayala
Zacarías Mejía
Daniel Ochoa
William Chapa
Jose ignacio Hernández
Dulce maría Valenzuela
Francisco javier Rosado
Álvaro Olivo
Amado Sánchez
Alex Pina
Guillermo Romero
Teodoro Anguita
Ivonne Paniagua
José Reig
Adalberto López
Serafín Casal
Jose miguel Rodarte
Kevin Sierra
Clara Londoño
Sara Olivo
Heraclio Ruiz
Ibán Hervás
Óscar Salcedo
Jeison Peláez
Emilia Benavente
Eliecer Badía
Marc Zambrano
Dario Osorio
Chuy Becerra
Rolando Naranjo
Mauricio Curiel
José antonio Barajas
Vinicio Novoa
Perla Villalpando
José antonio Criado
Andrés Vázquez
Uriel Mendoza
Leonor Varela
Zacarías Montemayor
Willian Cifuentes
Mauro Benítez
Felix De la crúz
Juan josé Parra
Karina Duque
César Barrios
Ignacio Alvarez
Ricardo Benítez
Martha Morante
Sneider Castrillo
Cornelio Rincón
Victoria Palomo
Sancho Ortega
Reyes Pantoja
Cecilia Vásquez
Iván Blanes
Manuel Ocampo
Juan carlos Esparza
Arturo Camacho
Gustavo Arteaga
Daniel Cotto
César Ulibarri
Ambrosio Mariscal
Esmeralda Juárez
Emilio Canals
Alex Riojas
Juan Navarro
Clímaco Calderon
Pastor Morales
Julián Rincón
Santiago Nieto
Rosa Araujo
Guillermo Jasso
Felipe Román
Aureliano Roldán
Luis Martínez
Antonio Velasco
Ramiro Benet
Cristian Orozco
Rosario Caro
Diego Clemente
Rubén Pallarès
Liliana Viera
Alonso Lozano
Baudelio Angulo
Kevin Granado
Marcos Cabrera
Modesto Tovar
Lázaro Zabala
Leonardo Benavides
Nicolás Ortega
Anastasio Asenjo
Aitor Olmos
Bernabé Centeno
Jose ignacio Arnau
Fabián Jaimes
Cristhian Flórez
Enrique Rodrígez
Patricia Aponte
Johan Montoya
Guillermo Corrales
Guadalupe Puga
Luis Beltrán
Asunción Yáñez
Maximino González
Manuel Espinal
David Narváez
Rufino Adame
Victoria Jiménez
Ivonne Garcés
Jhonny Dominguez
Juan Llamas
David Fabra
Juan luis Reyes
Vanesa Calvet
César Gaviria
Benito Orosco
Timoteo González
Barbara Muñoz
Valentín Ballesteros
Natanael Hernández
Luis ángel Marín
Sergio Lopez
David Espinosa
Steven Palomo
Herberto Dueñas
Nelly González
Olegario García
Fulgencio Barrera
Tomás Cruz
Carlos Farías
Chema Balaguer
Alta  gracia Sánchez
Leticia Garza
Jerónimo Gómez
Julio García
Germán Gelabert
Juan bautista Sánchez
Gabriel Casares
Ángel Valles
Aldonza Ayala
Inocencio Frías
Silvia Apodaca
Gabriel Colomer
Vanesa Ardila
Jorge Barrera
Luis Ángel
Zoé Moreno
Teresa Olvera
Karla Quezada
Eduardo López
Pablo Carpio
Marcio Fonseca
Luz Borrego
Geraldo Quintero
Gaspar Leiva
Elsa Molina
Felipe Serna
Ceferino Durán
Ildefonso Sáez
Elías Ramírez
Ángela Ariza
Guadalupe Morales
Nayeli Flórez
Camilo Duarte
Araceli Palacios
Andrés Carranza
Beatriz Castañeda
Prudencio Rodríguez
Gabriel Rubio
Balduino Cortés
Francisca Gallo
Juan Cruz
Iván Hernandes
Luis Vallejo
Jorge luis Segarra
Roque Alcalá
Alberto Sancho
Cecilio Andrés
Silvia Álvarez
Norma Cordero
Ignacio Carrillo
Mitzy Avilés
Borja Ballester
Juan carlos Casanova
Andrés Parra
Edu Mayorga
Bernardino Anglada
Stiven Cervantes
Miguel Pedroza
Ricardo Sarmiento
Jordán Benavides
Mauricio Casado
Antonia Pérez
Eduardo Venegas
Damián Sancho
Alfonso Bayo
Lucio Pareja
Roberto Canales
Rosario Mínguez
José luis Bohórquez
Roberto Nieto
Mario Lucio
Luis Pinzón
Germán Pintor
Eusebio Galván
Javier Suárez
Antonio Torre
Juan Vélez
Humberto Mejía
Eduardo Chapa
Juanito Ferrer
Eric Vallejo
Damián Vélez
Horacio Figueroa
Graciano Ramírez
Lucio Acevedo
José antonio Lumbreras
Anel Valadez
Raúl Amigó
Anacleto Llamas
Alma Cervántez
Ángel Guevara
Carlos Yáñez
Elisa Ramón
Gabriel Lasa
Diego Rosario
Antonio Bueno
Carlos Maestas
Alberto Camargo
Juan Ariza
Luis ángel Arias
Guadalupe Cáceres
Ezequiel Mercado
Carla Olmos
Lázaro Rubio
Benjamín Mateu
Eduardo Mateos
Jorge Solano
Alberto Granados
Roberto Blázquez
Natividad Gómez
Víctor Alarcón
Catalina Badía
Wilfredo Solís
Fidel Caldera
Lalo Yáñez
Mayte Razo
Maximiliano Villareal
Humberto Cárdenas
Moisés Parra
María josé Novoa
Dionisio Duarte
Blas Tamayo
Gabriela Perales
José Vargas
José Arnau
Yolanda Murcia
Julián Arreola
María eugenia Maestre
Francisco Gilabert
Américo Alvarado
Humberto Amat
Marino Londoño
David Paredes
Emiliano Jáuregui
Hugo Espinosa
Arturo Gómez
Cristian Castro
Aureliano Polo
Enrique Negrete
Timoteo Nava
Octavio Zorrilla
Rómulo Baquero
Vicente Sandoval
Teobaldo Gollum
Orlando Orta
Juan Arias
Diego Portilla
Delia Ruiz
Hilario Quintero
Diego Cardenas
Enrique Linares
Aitor Huerta
Hugo Zamudio
Omar Núñez
Mauricio Vélez
Loreto Silva
Javier Gómez
Frida Rosales
Alex Bustos
Adalberto Juárez
Vicente Lerma
Carlos Negrón
Estela Rivera
Rodrigo Arellano
Georgina Blanco
Alberto Marti
Reinaldo Valero
Mauricio Zuluaga
Alejandro Correa
Florentino Carrera
Luis Beltrán
Sergio Corrales
David Pérez
Brayan Bernal
Pepito Teruel
Arcelia Vanegas
Ernesto Santacruz
Irene Ruiz
Gonzalo Hernández
Giovanny Arco
Sebastián Iriarte
Irma Vargas
Adolfo Osorio
Alberto Salamanca
Remigio García
Javier Sarmiento
Luis Ureña
Adelardo Díaz
Claudia Cánovas
César Alvarado
Pepe Suárez
Martha Salcedo
Juan pablo Martínez
Leonel López
Iván Torre
Alvaro Arroyo
Manolo Caicedo
Calisto Bautista
Leonardo Mireles
Brayan Godínez
Manuel Martínez
Serafín Pabón
Diego Narváez
Claudio Baca
Juana Yáñez
Elías Gómez
Tania Marquez
Pablo Córdova
Reynaldo Gelabert
Custodio Romo
Cayetano Vásquez
Fabio Hernández
Daniel Rueda
María elena Manjón
Arturo Quesada
Ernesto Castillo
Epifanio Garica
Rufino Francisco
Juan Beltran
Andrés Cuevas
Miriam Bautista
Alexander Benítez
Francisco javier Hervia
Xavier Tafoya
Jorge Flórez
Maximiliano Ríos
Gaspar Julián
Cecilia Báez
Natalia Arenas
Íñigo Huertas
Luis León
Miguel Rangel
Mónica Portillo
Francisco javier Armas
Osvaldo Puig
Fabricio Huerta
Adelardo Cuellar
Úrsula Prada
Emiliano Henríquez
Gustavo Peiró
Custodio Calderón
Amalia Amaya
Ilse Nevado
Germán Urrutia
Teresa Pardo
Valentín Anguita
Roger Alonso
Aníbal Bétancourt
Quirino Ojeda
José Hernández
Blas Acevedo
José Rojas
Juan Guardado
Porfirio Lozano
John Ferrán
Isabel Corrales
Jhon Rincón
Germán Gárate
Albino Verduzco
Gabino Higueras
Jesús Mosquera
José Jiménez
Juan Figueroa
Violeta Gómez
Néstor Cabrera
José manuél Durán
Germán Tafoya
Nazario Fuentes
Zeferino Arrieta
Alejandro Bravo
Antonio Solorio
Calisto Ariza
Armando Granado
Zoé Vázquez
Abraham Carmona
Barbara Pedraza
Lope Matas
Miguel Palacios
Cipriano Ruiz
Laura Daza
Ángel Lira
Ernesto Ferrán
Elpidio Caicedo
Yuridia Navarrete
Victorino Crespo
Marisol Barrios
Leticia Escobar
Michael Hernández
Isaac Salazar
Carlos Milla
Olga Benavides
Jesús Valenzuela
Isabel Caraballo
Armando Pérez
Venceslás Salamanca
Francisco javier Cabrera
Eduardo Rodríguez
Francisco Guzmán
John Ávila
Nelson Castro
Bonifacio Pantoja
Angelino Ferrero
Ciriaco Muñoz
Héctor Guerrero
Carlos Galindo
José luis Arenas
Amílcar Rosado
Edgar Valencia
Wilson Barrera
Carlito Coello
Claudia Valderrama
Liliana Rincón
Débora Toledo
Fernando Linares
Diego Cano
Marco antonio Cruz
Luis Figuerola
Juan Burbano
Rodrigo Zorrilla
Marcelo Magaña
Paola Morcillo
Alberto Cepeda
Carlos Zedillo
Pablo Granados
Sebastián Jaimes
Roque Sierra
Víctor Velasco
Alfonso Rozas
Teodoro Múñiz
Amelia Jáuregui
Modesto Romero
Olivia Riquelme
Fulgencio Fabra
Elsa González
Ramiro Hoyos
Genaro Puente
Juana Barreto
Catalina Guzmán
Álvaro Cano
Borja Moreno
Alberto Solano
Ángela Pérez
Carlos Bedoya
Javi Peña
José eduardo Egea
Olivia Padilla
María cristina Leyva
Macario Bellido
Uriel Raya
Héctor Coronado
Leopoldo Gamez
Jose carlos Guzman
Elvis Ordóñez
Alfonso Alvarado
Helena Pedraza
Patricia Vega
Concepción Rueda
Silvio Bautista
Ciriaco Rodríguez
Alexander Serra
Maximiano Heredia
Arturo Arce
René Caballero
Estela Véliz
Roberto Ramos
Eduardo Santos
Emilio Torres
Jose ignacio Pedraza
Eva Rebollo
Narciso Gilabert
Bonifacio Cornejo
Fabiola Rosell
Amador Español
Balduino Arenas
Ángel Forero
Jonás Sebastián
José Corral
Abraham Escobedo
José luis Olmedo
Andrés Sierra
Alexis Guzmán
Samu Arregui
Elisa Álvarez
Ramón Covarrubias
Wilson Sobrino
Vasco Henríquez
Virginia Angulo
Mario Lopez
Adelardo Barrera
Marcelo Gamboa
Sergio Estrada
Helena Cruz
Miriam Arboleda
Octavio Lemus
Fito Vega
José carlos Tamayo
Hugo Armenta
Cornelio Bayón
Yeison Suárez
Andrés Baca
Aureliano Solera
Juan Medina
Juan Pedraza
Leonardo Lugo
Rufino Mares
Enrique Manrique
Nicolás López
Guillermo Cardona
Wilfrido Franco
León Llamas
José Fábregas
Antonio Priego
Steven Torrens
Arturo Gutiérrez
Rafael Longoria
Arturo Candelaria
Andrés Vilanova
Miriam Arenas
Augusto Casal
Rodrigo Santiago
Mario Domínguez
Modesto Guzmán
José maría Ballesteros
Ruby Barajas
Hugo Olmo
Ricardo Solano
Enrique Sandoval
Orlando Rivas
Alfonso Goicoechea
Isabela Ojeda
Juan carlos Romero
Nando Carrillo
Salvador Aguirre
Wilson Dueñas
Ricardo Grijalva
Wilfredo Hernández
Leandro Barrios
Esmeralda Estévez
Norma Mesa
Florencio Castro
Jordán Ponce
Aníbal García
Roque Domínguez
Epifanio Martinez
Alexis Avilés
Vidal Salazar
Alexis Gómez
Vinicio Duque
Ferney Solís
Jhon Pérez
Antonio Fuster
Carlos Robledo
Julio césar Tomé
Wendolin Pinto
Dalia Guerrero
Andrey De la garza
Humberto Echeverría
Fausto Castejón
Pedro Covarrubias
Seve Rojas
Luis miguel Torrijos
Marcela Quintero
Abel González
Camilo Bonilla
Danilo Villegas
Alfonso Villalobos
Jordán Velásquez
David Lumbreras
Severino Vázquez
Isabel Alarcón
Alberto Sierra
Tristán Porras
Eugenio Quintero
Luis ángel Rascón
Hugo Tovar
Anacleto Marín
Alcides Villaseñor
Lalo Antúnez
Iván Lumbreras
Elisa Arboleda
Amanda Vergara
José carlos Palomo
Reyes Tolosa
Jerónimo Rico
Ovidio Cantú
Johan Barrientos
Carlos Bilbao
Maximiliano Bastidas
Mónica Cortes
Jose francisco Vall
Julio Franco
José Peña
Fausto Olivas
Iván Rodríguez
Evelio Lara
Jeremías Ramos
Edwin Osorio
Flavio Hidalgo
Lino Franco
Chema Ortega
Darwin Saavedra
José Meléndez
Abraham Lucena
Gloria Rosales
Germán Parra
Emilio Juárez
Baudelio Coronado
Francisco jose Castaño
Horacio Torres
Ferney Ricart
Cecilio Torrent
Dulce Gómez
Mario Orta
Ceferino Rivera
Bernabé Osorio
Nayeli Arias
Citlali Trujillo
Bernardo Tovar
Anastasio Alvarado
Mariano Vásquez
Elias Miramontes
Manuel Ruiz
Silvestre Ramírez
Salvador Guerra
Diego Rosario
Inés Cortez
Josué Carrera
César Guerrero
Raimundo Ramírez
Nancy Marín
Heriberto Rosado
Augusto Limón
Natalio Ruelas
Desiderio Pineda
Elías Bustos
Efraín Villalba
Modesto Mantilla
Rubén Ayala
Ramón Rosa
Germán Sánchez
Jose ignacio Camargo
Yolanda Alegria
Sebastián Nájera
Olga Lugo
Jose miguel Montoya
Camilo Sarmiento
Gervasio Portero
Humberto Villalobos
Lorenzo Tovar
Natalia Magaña
Hernán Ruiz
Natalio Delgado
Diego Toro
Francisco Matos
Óscar Bertrán
Domingo Chavarría
David Tamez
Mauricio Santamaria
Pedro Rojas
Cristian Dávila
Eloisa Quintero
Juan Quesada
Carlota Alvarez
Juan carlos Lugo
Che Cárdenas
Ángela Cabezas
Wilmer Toledo
Horacio Ojeda
José Castro
Pablo Araujo
Juan josé Ramírez
Wálter Ballesteros
Eloy Casanovas
Isabel Muñoz
Francisco Malave
Roberto Baeza
Rafa Ramírez
Sebastián Hernández
Diego Egea
Leocadio Bello
Wilfredo Rivas
Mario Segovia
Fausto Tafoya
Gabino Muro
María teresa Sánchez
Enrique Roselló
Ana Vallejo
José mari Barrera
Diego Romero
Yolanda Casárez
Víctor Querol
Marcela Badillo
Edwin Rodríguez
Lorenzo Fajardo
Luis Sanabria
Manuel Miramontes
Ramón Rojas
Abigail Herrera
Ángel Ríos
Roger Marí
Carlota Hoyos
Anel Arce
Vicente González
Hilario Medina
Víctor Osorio
Humberto Sarabia
Donato Lozano
Saturnino Castro
Aldo Monsalve
Tito Ugarte
Fito Rojo
Victor manuel Bañuelos
Aurora Pozuelo
Ramón Báez
Valero Fernández
José Arango
Cristóbal Tapia
Sabas Gaitán
Juan Espitia
Mateo Ropero
David Perales
José luis Perez
Marisol Moreno
Sigfrido Barrios
Jos Cruz
Benito Torre
Glauco Palomino
Francisca Olivo
Tristán Sandoval
Eugenia Iriarte
Enrique Cañas
Graciano Agudelo
Ciríaco Arévalo
Serafín Arango
Blas Restrepo
Gustavo Monroy
Francisca Jaume
Calixto Gurule
Juan Gutiérrez
Guillermo Sauceda
Débora Carrión
Helena Cases
Cynthia Estrada
Antonio Pi
Adelardo Garzón
Juan Rael
Antonio Ureña
Edelmiro Castro
Rogelio Asenjo
Raimundo Vargas
Asunción Osorio
Fortunato Montoya
Inés Sánchez
Jacobo Reyes
Edgardo Abad
Hernán Nuñez
Alberto Moreno
Jesús Cáceres
Juan Garrido
Fabio Salazar
Horacio Sainz
José Vera
Andrés Espinoza
Cristian Hierro
Erasmo Escobar
Rafael Flórez
Hermenegildo Izaguirre
Américo Quintero
Eduardo Guzmán
Jairo Pulido
Antonia Ballesteros
Isaac Maestas
Luis manuel Gálvez
Luis García
Alberto Esquibel
Joaquín Enríquez
Clemente Gallo
Helena Díaz
Paulino Gutiérrez
Paco Ramos
Ignacio Londoño
Teodosio Carreras
Andrés Galán
Carlos Díaz
Mauro Cotto
Espiridión Treviño
Borja Díaz
Gerson Busquets
Sabas Casanova
Juan Ripoll
Ricardo Gastélum
Feliciano Vargas
José manuél Ortiz
Baldomero Irizarry
Daniela García
Rolando Anglada
Mauricio Casanova
Ambrosio Cornejo
Alonso Ríos
Pablo Pedrero
Magdalena Torrent
Nicanor Lucio
Ovidio Páez
Juan manuel Galarza
Fito Mascareñas
Daniel Gamboa
Gregorio Acevedo
Óscar Sanz
Cirino Carbajal
James Lozano
Teófilo Martorell
Valentín Pérez
Salma Berríos
Ferney Téllez
Epifanio Jiménez
Anselmo Peña
Orlando Tejada
Rosario Corrales
Benjamín Candelaria
María teresa Ruiz
Trinidad Pinilla
Wilfrido González
John Melero
Jesús Solorzano
Berto Pinto
Carlos Cervantes
Melchor Londoño
Jorge Mota
Roque Ferrando
Alberto España
Jhoan Barbosa
Jonás Martínez
Manuel Borrás
Indira Daza
Joan Alfonso
Ciro Nieves
Víctor Quiroz
Adalberto Abrego
Uriel López
Vito Gómez
Rosalia De la o
Carolina Quintero
Candelario Abella
Gustavo Montez
José manuél Pardo
Saturnino Zamora
Pancho Vázquez
José Frías
Zacarías Guitart
César Estrada
Juan francisco Velásquez
Gerardo Manjón
Adán Reyes
Yesid Álvarez
Seve Carvajal
Antonio Ribas
Alfonso Domínguez
Lucas Vargas
David López
Ilse Molina
Alberto Ramis
Enrique Goicoechea
Daniel Velásquez
José Pascual
Miguel Correa
Israel Mascareñas
Elvia Navarro
Reinaldo Montalvo
Estela Quintero
David Baró
Benito Llamas
Marcio Pons
Francisco Osorio
Jonatan Lillo
Soledad Bautista
Juan Uribe
Felipe Gutiérrez
Toni Morales
Stiven Rovira
Hernando Estrada
Orlando Contreras
Manuel Daza
Andrés Merino
Jonás Lara
Esther Gonzáles
Eutropio Manzanares
Gabriel Apodaca
Gaspar Mendoza
Rafaél Mora
Perla Barrera
Rafael Heredia
Jesús Casal
Hipólito Benavides
Diana Páez
Francisco Pina
Arturo Angulo
Alexander Paz
Indira Arrieta
Jaime Cabrera
Abelardo Peláez
Alexander Palomar
Elkin Bartolomé
Lorena Alvarado
José maría Luque
Alexander Peña
Toni Estévez
Benito Garica
Mauricio Cortés
Jhon Osorio
Bianca Dávila
Miriam Palacio
Álvaro Rivera
Teófilo García
Anderson Vigil
Timoteo Báez
Teodosio Bueno
Nazaret Olivares
Jairo Cabrero
Juan Acero
Casemiro Rebollo
Juanito Valencia
Flavio Montalvo
Aitor Álvarez
Román Barrios
Reynaldo Sánchez
Casemiro Córdoba
Tomás Buitrago
Rómulo Ríos
Miguel Alonzo
Abigail Ferrer
Bruno López
Fernando Negrón
Gabriela Nogueira
Alejandro Centeno
Fernando Guerrero
Norberto Gonzalez
Jorge Castillo
Dionisio Gutiérrez
Jaime Jaramillo
María elena Esquibel
Juan Madrid
Valero Villamil
Francisco javier Giraldo
Hilario Matos
Edgardo Peiró
Josefina Zurita
Andrés Santos
Calixto Vergara
Gerardo Plana
Ruperto Cortez
Alicia Gómez
Adolfo Alberola
Aldo Lara
Felipe Arboleda
José mari Hernández
César Soria
Rafael Muñiz
Alfonso González
Gil Montoya
Javier Díaz
Camila Duque
Iker Amorós
Edwin Acuña
Juan De la crúz
Cristian Parada
Ambrosio Mariscal
Augusto Forero
Freddy Capdevila
César Delgadillo
Alberto Casárez
Andrés Ortiz
Elvira Barbosa
Wilfredo Mateo
Guillermo Acuña
Trinidad Casas
Inocencio Pellicer
Vidal Peña
José maría Lozano
Isaac Ríos
Andrés Toro
Catalina Mora
William Sevilla
Santiago Vargas
Alma Meza
Carmen Cabrera
Román Santillán
Pío Arango
Josefina Gutiérrez
Édgar Padrón
César Mendoza
Esteban Sola
Carlos Sánchez
Jhon Tirado
Bernardino Rojas
Citlali Checa
Gloria Moles
Dulce Terán
Danilo Ornelas
José Galarza
Alicia Barrios
Pedro Ramírez
Sosimo Portero
Jorge Castellanos
José Baeza
Felipe Henao
Natalio Morales
Felipe Valderrama
Pascual Alva
Carlos Ortiz
Anselmo Ceballos
Gregorio Iglesias
Pancho León
Leonardo Moreno
José maría Romo
Rafaél Díaz
Antonio Caldera
Fabricio Reyes
Ana luisa Fernández
Casemiro Crespi
Yeison Loaiza
Alejo Jaume
Jhon Agustín
Cornelio Sanabria
Victoria Correa
Rafael Restrepo
Eva Sainz
Reina Salazar
Paco Uribe
Edelmiro Lumbreras
Ariadna Guerrero
Carlos Hidalgo
Enrique García
Fabio Gaitán
Alejandro Angulo
Jorge Cases
Mateo Granado
Ana luisa Cervantes
Nelly Amador
Ángela Sosa
Aldo De la torre
Cristal Pomares
Darío Torres
Alfredo Nieto
Javier Montemayor
Abraham Calzada
Lope Suárez
Horacio Querol
Pedro Ortega
Américo De la fuente
Minerva Rius
Víctor Domínguez
Hector Paz
Luis Carbajal
Arley Londoño
Tito Bedoya
Daniel Del valle
Ángel Juliá
Guadalupe Hinojosa
Rodrigo Barrios
Javier Herrera
Leonel Yáñez
Saturnino García
Linda Marco
Juan Guijarro
Paulino Melgar
Homero Sáenz
Alirio Lucio
Antonio Ospina
Galo Ortega
Hugo Viña
Jordán Garcia
Esteban Pinto
Martín Cánovas
Carlota Vargas
Fabiola Hernández
Andrés Cadena
Mitzy Torres
Vidal Ontiveros
Marco antonio Sandoval
Leonel Hernández
Beatriz Bárcena
Karina Toro
Julia Guerrero
Manuel Hernández
Alberto Gaya
Alejandro Acevedo
Juan Ramírez
Arturo Rosales
Fabián Ariza
Diego Baeza
Eligio Melgar
Javier Berenguer
Jacobo Ariza
Hector Olivera
Claudio Mariscal
Hugo Cornejo
Juan Rojas
Juan Salmerón
Manu Vergara
Aitor Guzmán
Joan Ojeda
Erasmo Andrés
Valentín Rodríguez
Juan Del valle
Cándido Benavides
Andrés Jiménez
Héctor Cordero
Susana Noriega
Edier Llamas
Jerónimo Serra
Carlos Sierra
Alta  gracia Toledo
Emilio Rosario
Alberto Flórez
Rafael Cifuentes
Juan Suárez
Pablo Ledesma
Alexis Rodríguez
Enrique Botella
Hilda Vázquez
Rufino Rojas
Aida Vélez
Moisés Lucas
Narciso Castro
Javier Sevilla
Alfonso Fonseca
Germán Morales
Alexander Gaitán
Wilfrido Montañez
Gustavo Loera
Octavio Hernando
Rómulo Rojas
Gabino Torres
Gloria Puente
Leonardo Camacho
Ángel González
Jaime Quevedo
Arley Urrutia
Ilse Arteaga
Felipe Mares
Karla Clavero
Cornelio Godoy
Carlos Córdoba
Alberto Guevara
Jenaro Rentería
Eva Hernández
Clemente Lozano
Patricio Leal
Godofredo Jara
Marisol Bellido
Julio Torrens
Andrés Granados
Joaquín Olmo
Dionisio Huguet
Amancio Vega
José antonio Grande
Serafín Rosario
Arturo Rivera
Antonio Miramontes
Diego Tena
Liliana Carvajal
Luis ángel Elizondo
Luis Bernal
Juan pablo Rivas
Wilson Gurule
Leocadio Carmona
Noemí Alarcón
Samuel Amat
Marciano Ramírez
Adán Ramírez
Javier Perera
Felipe Díaz
Liliana Galeano
Indira Martínez
Alfredo Preciado
Iván Cuevas
Fabián Abrego
Isabela Ledesma
Fabio Rodrigo
Alejandro Borrás
Aurora Marin
Alberto Corral
Marcelino Aguirre
María josé Santiago
Carlos Sánchez
Wilson Gordillo
Micaela Córdova
Andrés Sainz
Fernando Barreto
Sebastián Maya
Anacleto Sierra
Clara Camarillo
Sessa Leon
Rocío Verduzco
Gustavo Díaz
Bruno Ulloa
Clara Rengifo
Elkin Pinto
Mohamed Pérez
Teresa Arévalo
Rufino Acevedo
Ciro Sánchez
Graciano Palacios
Mario Salcedo
César Báez
Francisco Amo
Antonio Burgos
Wálter Partida
Camilo Sanabria
Yuridia Becerra
Íñigo Noriega
Beatriz Quintana
Fabio Ortiz
Abraham Ureña
Esmeralda Peña
Alberto Tirado
Horacio Cortés
Amelia Heredia
Marcelino Bayón
Leopoldo Alba
Aldo Camarillo
Antonio Osorio
Nelson Pereira
Adrián Cáceres
Luis Mur
Luis miguel Tórrez
Luis ángel Buitrago
Elías Gil
Ángel Torres
José Castellanos
Lucho Ospina
Citlali Gallo
Augusto Padrón
Úrsula Galvis
Raúl Reyes
Fabián Aguilar
Paulina Cavazos
Antonio Casals
Lino Valverde
José Sandoval
Nicodemo Rodríguez
Damián Arredondo
Lope Borrego
Alberto Moreno
Agapito Navarro
Juan antonio Sala
Jesús Gutiérrez
Luisa Alberdi
Valerio Gordillo
John Rodríguez
Zeferino Mena
Andrés Domínguez
Juan Gaitán
Mauricio Echeverría
Hugo Pardo
Manuel Ríos
Benigno Quiñónez
Fredy Muro
Leonardo Collazo
Marisol Sanmiguel
Alberto Niño
Pedro Rubio
Camilo Quiroga
Sebastián Ibarra
Andrés Romero
Bernardo Sevilla
Óscar Ferrera
Alejo Haro
Urbano Ballesteros
Heliodoro Jiménez
Feliciano Garay
Juan Meneses
Tiburcio Polo
Joaquín Pont
Carlos Caballero
Donato Samaniego
Chucho Bonilla
Irene Barreto
Ivonne Cabrera
Héctor Manzanares
Eloisa Almazán
Georgina López
Heliodoro Orozco
David Granados
Jerónimo De anda
Luis Ordóñez
Lázaro Mayorga
Noelia Landa
Joan Restrepo
Fredy Vásquez
Asunción Solano
Norberto Mejía
Fausto Pantoja
Brayan Alva
Cecilia Fábregas
Andrés Beltrán
Herberto Osorio
Victoria Barreto
Rebeca Collado
Ramón Mate
Alfredo Gallego
Jorge luis Cadena
Rafael Montes
Nel Noriega
Edilberto Agustí
Leonor Palacios
Alfredo Cañizares
Claudia Carvajal
Carlos Hernádez
Noé Reguera
Luz Pereira
Alexander Martínez
Juan Carreras
Jorge Torres
Diego Ugarte
Gonzalo Chávez
Irene Tomás
Zoé Bernad
Frida Ríos
Carlos Casas
Dalia Matos
Amanda Jáuregui
Enrique Abreu
Alexander Seco
Cynthia Contreras
Ángel Alsina
Amador Torres
Fabiola Ávila
Sabas Azcona
Fidel Bastidas
Alberto Ramírez
Jhon Longoria
Fredy Gómez
Flavio Álvarez
Teo Castillo
Juan Girona
Macario Rodríguez
Alberto Borja
Inocencio Montero
Rafa Bravo
Henry Durán
Marcos Hurtado
Liliana Jove
Mariano Diego
