Nikitas Ktenidis
Grigorios Kasoytsas
Odysseas Lamprinos
Pelopidas Tsiakos
Loykianos Stergioydis
Asimis Kyriakakis
Daniil Mylonas
Triantafyllos Syrris
Othon Gerardis
Agathaggelos Mammis
Charilaos Apostolidis
Charis Vaitsopoylos
Akritas Sylligardos
Rafail Parganas
Tzanetos Pantzartzidis
Kleomenis Voykas
Vlasis Petritakis
Aimilios Dimiskis
Valentinos Saltaoyras
Theocharis Koromilas
Nikandros Andreanidis
Eydoxios Tsiamitas
Theofanis Avramiotis
Xenofon Rodis
Anastasios Argyris
Polydoros Marakas
Galatios Konstantinidis
Ploytarchos Sevdas
Dimitrios Tsamaslidis
Exarchos Ferentinos
Konstantinos Dovas
Dimokratis Stayropoylos
Antonios Gretos
Fokas Sefekos
Minoas Tymvioy
Othon Ntovas
Polykarpos Lakkas
Leon Adamopoylos
Eykleidis Stamoylis
Menandros Anastopoylos
Theologos Mperedimas
Taxiarchis Sarafidis
Charalampos Amygdalakis
Titos Koytchias
Themis Mpozikis
Komninos Charalampidis
Timoleon Giatromanolakis
Platon Gkikas
Archimidis Doylgerakis
Themis Aggelidis
Zinovios Stamopoylos
Zafeirios Chrysovergis
Anargyros Kolkas
Dionysios Manolakis
Theotokis Margaris
Zacharias Patmanidis
Krystallis Makris
Artemis Milioris
Solomon Rachovitsas
Karolos Giapatzis
Matthaios Chatzigeorgioy
Ektoras Drakakis
Leandros Tasioylas
Vasileios Tsoyknidas
Markos Chatziaras
Pelopidas Tsotras
Stamatios Kypraios
Laokratis Mpofos
Elissaios Voylkos
Ieremias Pagkalos
Alexandros Spanoydakis
Makarios Chatzigeorgioy
Eydoxios Kapetanios
Michalis Karantzopoylos
Gavriil Krialis
Ippokratis Ntokos
Kleomenis Tsapralis
Yakinthos Christodoylakis
Georgios Gratsias
Errikos Katevatis
Freiderikos Giannakopoylos
Nikos Doynis
Nikiforos Voylgaris
Dikaios Palios
Miltiadis Mpoysios
Agapios Avagianos
Erotokritos Melitsopoylos
Gerasimos Giapatzis
Faidon Trivellas
Valantis Skordos
Dionysios Piagkos
Patroklos Nasikas
Eymenios Lymperis
Stefanos Adamopoylos
Minoas Polyzoakis
Sotirios Skrekas
Theoklitos Vlisaroylis
Grigorios Katsaros
Ilias Mpoyrlis
Klimis Sdrallis
Layrentios Draziotis
Aimilianos Samakidis
Stefanos Tasios
Paschalis Kypraios
Achilleas Mayroydis
Charilaos Zotos
Prokopios Koytsogiannis
Eystathios Lamprinos
Damaskinos Vlachos
Serafeim Adamopoylos
Loykianos Rigas
Veniamin Athanasopoylos
Aggelos Soylintzis
Mayroeidis Koytelieris
Nikos Dimitrioy
Kleovoylos Dinezakis
Orestis Lianakis
Christos Toromidis
Anestis Soyrmpis
Agathaggelos Lymperis
Alexandros Kontakos
