Amooni Amjad
Nooruddin Shahab
 
Adam Omar
Hazem Al-azdi
Mazen Salahi
Ousamah Ghawanmeh
English First
Ahmad Sadat
Din Bin
Ahmed Bilal
Samir Mteir
Ahmed Dajani
Sulaiman Abu
Abdul-karim Bin
Fakhruddin Mashasha
Jafar 
Faris Bin
Adel Darwish
Hammad Bin
Shahab Sahul
Abdullah Shaibah
Mohammed Al-haq
Alexa Amir
Arfan Tribin
Munzar Eheman
Thank You
Nawaf Asir
Zafir Geenah
Abdullah Al
Talal Adwan
Shafqat Rahim
Fawaz Beitari
Ali Daqqaq
Ghasan Jazini
Mansour Zebied
Khalid Azd
Jariir Beno
Shadi Bejila
Majdiy Bin
Nashwan Ben
Mohammed Naqib
Kamal Shik
Jacob Naseeba
Robbie Smith
Alfred Qadah
Mohammed Qadmani
Masaad Tripoli
Abdulrahman Bin
Ahmad Jabbari
Saïdou Diallo
Thank You
Saifuddin Bin
Zubaida 
Ahmed Al-baqum
Habiba Rahman
John Bolton
Mutaz Zabeed
Abu Bakr
Abdullah Al-saud
Qasim Bano
Fayez Jazini
Jacob Khathum
Ahmad Alkathiri


english Only:
Al-harith Bin
Din Ibn
Taha 
Habib And
Abu Bakr
Mohammed Azizi
Mons Merfap
Abdul Rashid
Ahmed Hafan
Abu Al-hajj
Mohyiuddin Kawahela
Nasiruddin Zumar
Hesam Istanbul
Ahmed Al-dajani
Safiuddin Amir
Muattaq Al-hukam
Badiya Qasab
Muhammad Ibn
Abdul Malik
Armani Khan
Sam Qatina
Majed Arnaut
Abdul Ati
Hussein Bin
John Basar
Ahmad Alafifi
Sobour Behamdouni
Amaradi Najm
Mourad Ghanim
Mandim Bin
Mohammed Atiya
Abdul Hakim
Kamran Khan
Hello Gail,
Khalid Bin
Sarandhah 
Abbas Blaikran
John Hancock
Hussein Saidawi
Mohammed Sharif
Abdul Jabbar
Muatz Al-qutb
Aamir Sasaa
Hussain Ibn
Abdul Baqi
Zahra Farah
Emonee Smith
Munir Sidaoui
Faisal Khelan
Abdul Haq
Hakim Azad
Abdul Majeed
Hamid Bin
Salahuddin Saidawy
Easton Tseim
Tunde Adem
Ahmed Hadjazi
Ahmed Al-muzaffar
Khulafa Al-beesar
Faruq Al-mutawalli
Nouri Sharif
Manaaf Kamal
Kais Elan
Maisie Ansah
Imam Saudid
Zakaria Ghawanmeh
Salman Thaqif
Hazem Jrahm
Mohammed Qahtan
Joseph Tronni
Hassan Baqumi
Shahdad Bonyass
Hussein Goush
Hussein Khalafawi
Zahir Qarsh
Adwan Qumman
Azhimann Zabidi
Emir Bin
Hussein Alkhazraji
Abdul Latif
Shibab Sarnandh
Afshin Azarakhsh
Ahmed Biyat
Abdul-basit Ebaid
Zahid Zohlawi
Fadi Bin
Abdulaziz Al-zamil
Ahmed Al-sabir
Saad Bin
Abu Ayd
Mesrour Maraziq
Abdulaziz Muzahij
Mohammed Tripoli
Ahmed Salman
John Zane
Ahmed Al
Aman Maatouq
Ahmed Droubi
Marah Khalafawi
Mayyad Aamer
Fouzi Bakr
Abdulrahman Sheikh
Din Al-asmar
Alexandre Benoah
Fadi Zaghloul
Abdullah Anasari
Bazan Badiria
Kes Aylan
Moussa Bin
Abdulmohi Shraf
Anmar Zaidan
Abdul Sami
Abdul Quddus
Ahmed Qadmani
Khalid Jaouni
Abdul Qahar
Samad Qahtan
Tahir Bani
Ahmed Sabri
Hamid Bin
Thitham Al
 
Mohammed Yashar
Nuruddin 
Ahmet Istanbul
Hulan Khulan
Mohammed Buhamedouni
Ahmed Alkhozarji
Ahmed Al-baghdadi
Hossein Hashemi


john Smith
Mohammed Ali
John Hethal
Yazid Bin
Ahmed Badriah
Arnauot 
Ahmed Al-qadmani
Ahmed Jabali
Hazzaa Khazaei
Moses Mehr
Mohammed Zemarra
John Bushiti
Saad Al-ashirah
Abdul Qadous
Masood Bin
Sultan Qawasem
Abdullah Alami
Jalaluddin Abdul
Bani Biyat
Kamal East
Abu Al-hajj
Abu Eid
Khalil Anas
Simon Smith
Ida Smith
Hisham Al-deesi
Malik Bano
Ryan Khan
Kandace Smith
Mohammed Baghdad
Abdul-asad 
Ahmed Al-suhail
Johnathan Thaen
Kanana Kafafi
Raji Rajih
Munir Al-qalmani
Jafar Ghatafan
English First
Yahya Al-asali
Ahmed Qarjolani
John Bergdahl
Firhan Najib
Husayn Bin


john Smith
Ahmed Beitari
Leith Azarra
Ahmed Al-asali
Omar Biyat
Taziz Farah
Muataz Najm
Jamal Tasm
Najib Sultan
Khalan Haydari
Jacob Bin
Kais Aylan
Malik Benomar
Mohammed El-kadri
Abdul Ghaffar
Shiban Mohtat
Saeed Bin
Nabil Moussa
Ben Shiban
Ameer And
Hilmi Istanbuli
Zahika Ghatafan


oman Matni
Samer Bin
Abdul Khaliq
Hamiir Saaid
David Daudy
Hani Attia
Abdulaziz Sabeeh
Marzahr Beno
Abdulaziz Shamran
Zayan And
Mohammed Al-khazaei
Jalal Abu
Mishal Barq
Benyas 
First Name:
Zayed Gehina
Az-din Muntaqim
Ahmed Aldosoky
Thursday Maraziq
Samad Akawi
Taha Mansi
Monsur Dajani
Abdullah Alhulaiq
Abdul Baghazi
Imam Sharif
Nahid Ahmed
Ahmed Berqdar
Abdurrouf Rabatab
Ahmad Khalidi
Nasseruddin Halwani
Salimat Sulaym
Kasir Asir
Dawood Ibn
Kamal Zahar
Wael Benazza
Hammah Habah
Ramsey Saman
Hisham Kababish
Sultan Al
Abd Al-majid
Abdul Karim
Jasem Hawazin
Mohammed Al-qalmani
Tom Anmar
John Ajlan
Khalid Hawazin
Abdul Samad
Thursday Beirut:
Eastern Mirfap
Ajaal Bin
Reda Bin
Ahmed Ben
Hassan Daqak
Fahd Al-namri
Ahmed Maraziq
Ameri Amri
Anasi Ansu
Ahmad Hassan
Ahmed Aljawari
Aliuddin Bamiya
Jamaluddin Ghattaman
Sultan Hamir
Marwan Quresh
Mohammed El-amine
Shibli Kamal
Abdul Qahar
Ok, The
Khalid Ashjae
Ambassador Neshashiibi
Munthir Zabia
English First
Saad Bin
Nooruddin Dubalal
Nasir Bin
Anjali Sharma
Abdul Rahim
Abdulnasif Abied
Ahmed Bakr
Ahmed Zebia
Ahmed Bahloul
Ambassador Adwan
Taha Farraas
Abdul-najar 
Mohammed Adi
Khaleel Jarrallah
Mohammed Alshami
Marwan Abu
Ben Ahmar
Shahab Kamal
Khalid Al-bid
Kareem Abdul
Ahmed Al-asmar
Adel Bin
Salimān Afghānī
Sasir Yafai
John Robbins
Mehdi Attia
Bano Faras
Shahab Saidani
Alfred Jazini
Sam Saadawi
Saher Almontafaq
Harith Ibn
Hassan Zarkan
Ahmed Sabri
Amanar Sasaa


john Smith
Abdul Harith
Rajih 
Abdul Baqi
Jacob Sadat
Abdul Alim
Abu Bakr
English First
Derya Saraj
Barqamim English
Hamid Bumadin
Manaf Bin
Amiran Mamlouk
Masoud Jabha
Mohammed Khanf
Malik Bin
Khalilah English
Abdulaziz Khelan
Miraab Malik
Heshmat Zohalawy
Benoyas 
Fahd Al-sahul
Mukram Bamiya
Mohammed Abdel
John Robbins
Owner Al-hudami
Din Daqag
Ahmed Qahtan
Ahmed Al-qabani
Tripoli English:
Marwan Hethail
John Clark
Karbiyal Qais
Qutham Bdraya
Mohammed Al-shahabi
Ahmed Alafifi
Ghadanan Ghatafan
Noura Yas
Abdul Bari
Mesaud Rajih
Firdaus Mubarak
English Only:
Ahmad Khundaf
Zaid Bin
Hilal Bin
Ghamas Rasem
Mohammed Al
Jehinah Sadan
Moses Al-hakim
Matthew Taylor
Ahmed Al-khawlah
Abdul Salam
Mazhar Ansa
Shadi Bin
Adam Hilal
Abdul Hafeez
Hassam Ebaid
Zayd Ibn
Munzar Rajih
Ahmed Dikaki
David Tahan
Ahmed Al-shahhabi
Abdul Majeed
Najib Khafaji
Abu Bakr
Kamal Alafi
Essam Jabhah
First Name:
Abdulqais 
Ghanim Alqathazi
Samuel Goode
Benoshia 
Ahmed Al-dawaser
Ben Sheba
Ahmed Al-shaibani
Ahmed Al-sahool
Hussain Kassir
Sadid Dervish
Aqeel Najm
Berkdār Shākir
Ahmad Hadad
Ahmed Aseer
Architect Zarqan
Mufaq Alhajar
Ahmed Baghdad
Ahmed Aljaouni
Omar Hadiemi
Ahmad Sadoon
Baderiya 
Beno Farras
Najiib Muhammad
Hafiz Al-kulghasi
Maha Al-hera
Fawzi Al-awazim
Abdul Sami
Mohammed Al-hulwani
Abdul Moula
Ahmed El-hulwani
Faran Tajsh


john Smith
Abdari Rabatab
Omar Belghazi
Hassani Akawi
Sammy Patterson
Harith Bin
Saud Bin
Benjamin Yael
Abdul Samad
Ahmed Shatia
Hisham Sharafah
Adi Omar
Faris Bin
Fatima Al-asali
Khalid Hindi
Sulaiman Bin
Mohamed Al-moutawalli
Mefab Saeed
Nours Qureshi
Ahmed Bahloul
Samah Tah
Abdul Rashid
Mohammed Al-namri
Katharina Zemmery
Abdulrahim Abu
Ahmed Alfattani
Mohammed El-khattabi
Mishal Al-sahhoul
Abdul-rahim Ebid
Omar Matwali
Saad Bakr
Abdulahi Zubeida
Adel Ben
Mutayyam Ghamd
Abiib Bin
Abu Eid
Khalid Al-namr
Beno Zied
John Barghaan
Ahmed Zaman
Majdi Akawi
Abdul Bari
Nooruddin 
Talal Al-aref
Abdullah Al-kulghasi
Ahmed El-mahalawi
Afghani Faghazi
Derya Tuf
Mohammed Saidawi
Abdul Salam
Abbas Thaqif
Marwan Bin
Abdulrahman Abu
Salim Al-khatib
Hilal Kalouti
Jamal Tasm
Salam Zargan
Abdul Alim
Ziyan Omar
Ahmed Alhalak
Abdul Rauf
Shahran Shamran
Alyan Alghazwani
Ibn Khaldun
Nuruddin 
Farahed Maatouq
Leith English
Ishmael Sharif
Abu Bakr
Samir Alkhaldi
Nooruddin 
Ahmed Al-dosoki
Hafez Bano
Rouzbeh Torabi
Hazem Al-ansari
Ahmed Shaaban
First Name:
Salim Nahd
Amir Al-hajar
Mohammed Shafique
Abanan Qazaz
Ahmed Almurazique
Abdul-tawwab Bin
Ahmad Alshabani
Hazil Al-baqum
Abdul Muttalib
Hamedan Hamir
Hisham And
Nizar Namr
Marrad Alkulghasi
Marzouq Iyad
Mohammad Beiruti
Sara Bin
Abdul Salam
Khandaf Khaif
Hazraan Almutawali
Abdul Qahar
Solomon Qaei
Mohammed Shami
Najib Shajia


gamid Ahmed
Abdulaziz Al-obeidi
Yasir Binu
Shahrokh Ahram
Adam Smith
Abdul Dilim
Abdul Sami
Fayez Thufeir
Fouzi Ben
Hamiir Saadiq
Ali Dervish
Abdul-rauf Bin
John Coastman
Abdul Ghaffar
Habakkuk Ebah
Mudathir Al-namr
Ahmed Al
Husayb Qahtan
Ahmed Al-ahmar
Marwan Bin
Jihad Saroori
Zahran Malik
Jacob Qarjouli
Abdul Wahid
Hassani El-hulwani
Abdul Rahman
Ahmed Shihabi
Hazem Haazen
Sarajuddin Dilaim
Abdul Karim
Abdul Jabbar
Munir Tammim
Ahmed Alniazai
Salim Alsamed
Abdul Jabbar
Saraj-ud-din Sharfaa
Jafar Alirani
Thank You,
Khaled Zebied
Faruq Tahan
Azraa Returna
Hafez Aklub
Abdulaziz Almi
Khalidoun Yas
Mukram Maraziq
Himayman Zubia
Abdul Latif
Sarim Bakr
Shafi Bin
Faisal Bin
Maryam Alami
Kazem Nour
Monserrat Rasas
Ayla Qais
Samah Hamdan
Adam Din
Jasem Berqdar
Asir Sarhan
Abdul Ghaffar
John Blue
Ahmad Mansour
Furaj Bani
Kafour Rabiea
Mirfab 
Imam Musa
Ahmad Al-nasari
Fifi Khazaei
Ahmad Alharith
Abdulaziz Alafifi
Kulani Khan
Mohammar Tripoli
Majed Jaouni
Habib Abdulah
Zaid Ibn
Hafan Azra
Abdul Latif
Muhammad Ibn
Fars Banu
Mashraq Jazini
Harith Ibn
Faisal Al
Saddam Naqib
Moataz Mahra
Khaled Najib
Mohiyeddin Saidawy
Tommy Smith
Totah Amir
Omar Iyad
Mohammed Sharaf
Abdul Haq
Hazim Alkulughasi
Mordad Heymam
Arab Barq


john Smith
Shawan Zohikha
Sumera Kamran
Fouad Ben
Mohammed Aziz
Abdul Razzaq
John Hammond
Abdul Baqi
Leith Beno
Ambassador Bin
Hazma Samoom
Saad Ibn
Beno Lamm
Hajar Ibn
Abdul Halim
Hamedan Hedayat
Najm Al-din
Abdulqais 
Othman Khm
Sabaan Qazaz
Abdulrahman Bakr
Saeib Murad
Hazem Tazeez
Ibrahim Idris
Omar Rabat
Ahmed Al-zufair
Nooruddin 
Ahmad Hussaini
Ahmed Bin
Abdulrahman Bashiti
Tahir Nihad
Samir Droubi
Hagar Beni
Binyamin Netanyahu
Ahmad Al-ansari
Sasir Al-aljawi
Hani Doballal
Ahmed Sham
Ahmed Al-namri
Ansar Ansari
Hilal Al-hedmi
Abdul Karim
Fayyad Al-futayyani
Abdul Hayy
Fahad Al-daqqaq
Hafan Rabat
Othman Al-husseini
Marzahr Murad
Abdulrahman Al-kawahli
Katoom Balghazee
John Curley
Khalil Al-sahili
Thursday Oflaherty
Monsieur Jazini
Abdul Qadous
Faris Akawi
Abdul Quddus
Tamir Mufab
Ahmed Shaaweesh
Ghaith Gammid
Hammam Bakiel
Abu Ayd
Mohammed Al-muzaffar
Jamal Shihabi
Zebar Baalbaki


john Smith
Abdulrahman Amela
Ahmed Rashid
Kazraj Alghali
Aseer Al-safafi
Adam Assad
Benoyu Alai
Ahmed Alkababish
John Polar
Hilali Hindi
Kazrge Assem
Ahmed Al
Abbas Hedaymi
Mohammad Reza
Afghan Guide
Ahmed Qadahaa
Hafan Qabailah-hazayel
Abdul Haq
Nasiruddin Al-arrij
Zafez Zazzy
Shabeeb Shamie
Mohiyyuddin Jaaliyin
Abdulaziz Bahloula
Younes Alkulghasi
Sherouqi Sarnadih
Imam Ali
Abdul Khaliq
Aziz Aljawwi
Abdulaziz Al-saud
Zubair Waari
Afghani Mannsi
Mohsen Rabab
Haimaan Morocco
Kazim Gusha
Mudhoogh Bin
Miraafab 
Nasir Hashim
Mohammed Al-aref
Fahd Al-awlaqi
Najib English
Ahmad Shamloo
John Coastal
Besar Qaqaqur
Nabil Hamida
Mohammed Badri
Majdi Al
Mohamed Al-qawasem
Faris Bin
Samir Ben
Shaif Bin
Salim 
Najmi Bin
Abu Ubaidah
Jumad Fahm
Nassif Bencheikh
Az-din Khazāʿa
John Hammond
Jassim Al-hulwani
Ahmed Al-halaq
Abdul Razzaq
Saeed Qarsh
Jalal Shawayesh
Hisham Al-halaq
Arab Aljawwi
Raman Asim
Abdul Qahar
Aweida Azizi
Hilal Tarrabain
Hassan Bin
Ahmed Al-khatib
Mufaddal Qazzaz
Fahid Salman
Abdulrahim Desi
Ahmed Saeed
Mohammed Al-qabani
Ahmed Zargan
Abdul Majeed
Mohamed Jafar
Mohiyeddin Khthoom
Abdul Kalghasi
Hassan Dajani
Amar Patterson
Samaneh Saman
Ahmaduddin Jadis
Tamir Zahran
Mohammed El
Mashari Mufab
Kazem Sayyam
Ahmed Zalatimo
Jafar Bin
Aseer Najdah
Hafiz Al-kulugasi
Ali Bin
Bashar Birqdar
Abdul-qadir Ibn
Hassan Kallughasi
Ahmed Bin
Masaab Bin
Omar Al-hudhmi
Amar Zargan
Abdul Samad
Khattam Alkhazraji
Ghamid Afzal
Youssef Benyoussef
Arab Sharim
Faras Jallal
Ahmed Khalafawi
Abdul Salam
Tripoli 
Ahmed Al-rawi
Nahid Muayyid
Zafar Armani
Jamal Shami
Abdul Haj
Hiyyan Baalbaki
Shafeeq Tootah
Abdul Salam
Kenza Kanan


ghamid Afaig
Afif Droubi
Ziyad Khandaf
Manaf Tanukh
Ghatfan Almarif
Thursday Jagoni
Ahmed Alshayki
Nasser Jar
Majed Ziyad
Hassan Qadaa
Hazah Aldosoki
Mohiyeddin Shahran
Ahmed Jaouni
David Dineen
Mather Gusha
Kazem Qais
Ahmed Bahloul
Abdul Majid
Eastern Khuzestan
Majed Bin
English First
English First
Omar Adel
Saad Zalatimo
Majed Barq
Essam Shaweesh
Zahran Al-naqib
Sad Alghunaima
Mohammed Abul
Safiuddin Najar
Abdulrahim Jiela
Saad Al-hakam
Jacob Thaqif
Hareth Humair
Abanoub Najar
Abdulaziz Abu
Adam Assad
John Kuzurj
Aliou Yass
Abdulaziz Shamran
Abdul Qadir
Munib Ibn
English First
Yassine Ben
Kais Aylan
Najat Ben-najar
Masoud Anse
Haniya And
Nasiruddin Ahmar
Abdulrahman Yafai
Mohammed Sadani
Ahmed Alshayyka
Hijr Ibn
Ahmed Alayubi
Sahar Al-futayani
Alyan Aqil
Thank You,


john Smith
Farjad Dorosh
Hazmi Al-qadmani
Zaria Abide
Mustafa Bin
Kazim Yaafai
Khalid Ibn
Saber Rashid
Ahmad Ibn
Rashid Benfaida
Abdul Qahhar
Amar Dowsar
Ahmed Desi
Beno Zaid
Saad Bin
Mohammed Al-dosouqi
Abdul Moula
Shawn Qureshi
Mohiyyuddin Jaooni
Abdul Bari
Abdul Tawab
Faris Al-mehra
Ahmad Balee
Din Khazarji
Thank You
Michael Saman
Mohammed Zaid
Jalal Bin
Zafar Hanifa
Complete Metoq
Ahmed Qahtan
Maammar Bin
Marouj Fetyani
Hassan Bin
John Red
Abu Ayd
Mahdi Zorifi
Mary Smith
Samad Doubleal
Zayd Bin
Zughayr Tahan
Faisal Al-sufi
Hajazi Organizational
Ameer Al-baqoom
Hazai Ibn
Hilali Bin
Ayaat Atiiba
Zubair Jaooni
Malik Bin
Ahmad Al-hudaybi
Ahmed Al-shahabi
Anas Jreir
Joseph Desi
Fatima Bint
Omar Kawahela
Hassanin Mdar
Jalal Al
Abbas Aamer
Fayef Delim
Abdul Salam
Rashid Omran
Nashwan Asir
Marzahr Shweifi
English First
Fahd Humdouni
Tamer Kabachich
Mammar Anmar
Abdul Jabbar
Ahram Return
Fouad Qahtan
Khalid Bakr
Wael Pride
Jamal Qahtan
Ahmed Al-ansari
Beny Biat
Taziz Nawwar
Tim Totah
Nuruddin 
Samir Sabri
Hassan Asir
Abdul Latif
Ahmad Al-saheli
Beno Maqel
Nuaym Ibn
Ahmed Al-namri
John Carpenter
Oulad Bouaziz
Abdul Hayy
Sadiq Bin
Hazim Khasim
Amir Baderiya
Hani Al-haweitat
Ahkim Bin
Ramadan Alqazzaz
Kafalah Kananah
Abdul Salam
Ahmed Alsamman
Mounib Kanan
Mutim Nihad
Ali Al-mufari
Ali Hussaini
Hassan Qadmani
Hazir Kanda
Hafiz Al-qaradawi
Omar Bin
Fakhr Ous
Abdul Ghani
Abdul Baqi
Mohammed Hamidah
Muhammad Al-bukhari
Amiran Amelah
Ahmed Alkatheeri
Masoud Zamamiri
Mohammed Al
John Boyte
Hammoud Al-besair
Marzahr Saman
Najib Masaad
Abdul Saad
Abdulrahim Bin
Wael Ben
Sam Seifi
Adil Bin
Beny Biat
John Carpenter
Bakr Bin
Muntaser Mehra
Ibrahim Eid
Moses Al-hajar
Abdul Karim
Zayd And
Ahmed Al
Mustafa Bin
Frahid Al
Abdurrahman Abu
Ahmed Ajrami
Qaḥṭān Qaḍāʿa
Hafez Beiruti
Adi Benadi
Husayb Ibn
Ahmed Bin
Khalan 
English First
Bouazizi Children
Kareem Bashiti
Barq English
Owais Ahmed
Kareem Al
Khalid Hazaa
Abdul Wahid
Masad Naseeba
Shafie Khalan
Abu Al-hajj
Omar Bin
Soliman Bin
Abdulrahman Bin
Faisal Bin


john Smith
Ahmed Bin
Samira Smith
Hamoud Bin
Samim Tsam
Full Sherefa:
Zahida Malik
Saadoon Bily
Ahmed Badri
Lebib Beno
Essam Naguib
Mirfab Nawwar
Abdul-dalil 
Hayan Mani
Abdulaziz Al
Noshaba Sheibani
Mohammed Omar
Aqeel Deen
Adam Heiman
Ahmed Nahid
Mustafa Al-kababish
John Graham


mohammed Mahdi
Benabel Maqel
Marriott Bulaqazī
Khalid Al-khatib
Fozi Zahlawi
Abdul Karim
Hussein Al-hawash
Younes Alayoub
Abdul Jalil
Abdul Ghaffar
Khandaf Useful
Qais Aylaan
Tamir Yafai
Hajji Hamir
Abdul Majeed
Ahmed Hassan
Hafsa Hamida
Abdul Shukur
Kenda Kaneda
Wael Benghali
Fahfan Besar
Azdan Al-azdi
David Translator
Shamanan 
Abdul Khazrji
Jafar Bin
Nasiruddin Khazaei
Mansi Qureshi
Abdul Rashid
Sabbur Adel
Beno Hanifa
Boutros Madi
First Name:
Faranak Daqiq
Abdul Rahman
Jassim Bin
Emonee Smith
Zahra Kowahla
Jaber Abu
Khalfan Al
Mohammed Yousuf
Ahmed Sommera
John Gazini
Furhan Bin
Abdulrahman Anza
Abdul Samad
Taqsh Afzal
First Name
Rajeh Fakhr
Shahir Shamran
Ziyad Shamran
Ajram Ajram
Ahmad Ibn
Nasser Abdulqais
Zanar Ghanim
Hassam Blaqran
Shahrad Shamr
Oman Al
Tripoli Aid
Saved Zarkan
Nabil Jouda
Himanshu Sarnath
Adwan Asboor
 
English First
Abdul Bari
Ahmed Jazam
Rami Chami
Abdul Hakim
Amr Ibn
Mervin Murphy
Abdul Jalil
Abdul Saud
Khalil Nahd
Saad Bin
Munzir Amiyuni
Abdulrahman Zumurrud
Open Kalibo:
Ghimoun Ghatafan
Tripoli El-tahir
Abdulaziz Bin
Ahmed Alkhulafi
Abu Al-hajjaj
Mohammed Al-qabani
Abdulrahman Nameri
Kendamma English
Noor Al-haqq
Mohammed Afifi
Fahd Shami
Ahmed Alshayyiki
Zubayr Bin
Mohammed Alhilal
Abdulrahman Abu
Marzouq Khandaf
Leith Ben
Hans Müller
Ahmed Jaheen
Hazma Mzaina
Adwan Brave
Adam Jadawi
Mohammed Zafir
Ben Wail
Abdullah Almontafaq
Abdul Halim
Ahmed Al-asmar
Nimam Shumar
Ahmed Bin
Mohammed Shafik
Hammoud Alshami
Munif Bin
Mahmoud Sharif
John Bushiti
Leith Benafi
Mohammed Ansari
Hassani Shamar
Mohammed Qadah
Hamir Faras
Maecy Harb
Zahra Zuhaili
Abdul Latif
Ben Omar
Moses Armoni
Ahmed Ayub
Shahdad Jafar
Saboor Boodeen
Saud Bin
Khaleel Farahid
Samar Jarhum
Diyāʼ Ad-dīn
Benul-hilal 
Ahram Heif
Najib Return
Hazrat Siyam
Hareth Al
Adam Clarke
Jamil Jazar
Abu Ayda
Zafar Hamir
Abdul Salam
Faleh Al-asali
Shaib Al-tarmunan
Ramzi Bani
Jariir Bin
Nasiba Saeed
Munaf Al-kuwaili
Omar Bin
Mahmoud Al-khalafawi
Zaid Bin
Mazrani Kasasir
Hassan Jabeili
English First
Mohsen Khalidi
Fars Shavies
Anamari 
Fakhr Tamim
Hossein Shojaee
Muhammad Saaf
English First
Ahmed Maqbool
Samir Sabeel
Abdul Jalil
Beno Red
Saad Thaqif
Jafar Abbas
Zayed Alsaman
Nooruddin Qais
Hani Siyam
Ahmed Asseir
Saboor Badriya
Ahmed Alkhazraj
Ahmed Alafifi
Hassan Kanan
Razvi Syfi
John Zyan
Good Morning
Mohammed Adwan
Jafar Success
Haleem Bakr
Hilal Kaloti
Ahmed Al-nasri
Maammar Saidani
Hassanin Morka
Hassan Khalan
Mukram Tootah
Wael Benazza
Sadjad Zahlawi
Abdulaziz Al-kanani
Abbas Berqdar
Farahed Zanzar
Saeed Sharif
Zaid Bin
Sadan Saeedani
Athamar Shamr
Ahmad Badri
Maniq Al-maraziq
Maymoon Ubaid
Kholan Mansei
Ahmad Al-nasri
John Hammond
Hajr Bin
Hafiz Al-qalamuni
Ahmed Al-hijazi
Ben Sakhr
Hazir Al-baqum
Munib Bin
Benazir Bunshaiba
Bakr Bin
Abdul-qadir Gilani
Jalaluddin Zarqan
Safyan Bitroni
Kanda Patel
Wael Bishara
Thursday Mazinah
Ahmed Al-din
Douglas Smith
Malik Ibn
Ahmed Awaida
Abdul Hakeem
Hafan Khathim
Maneb Aamer
Mohiuddin Habiba
Barq Al-diyab
Abdul Jabbar
Abdul Jalil
Jedir Bin
Hassanin Bakil
Jaber Ghanim
Ahmed Bin
Essam Zamamiri
Zahir Afghan
John Qureshi
Ahmed Bin
Jafar Shuhooh
Mahmoud Atieba
Keram Imam
Saadiq Bin
John Pittar
Malik Ben
Hafid Rabatab
Ali Imam
Qasi Ghanim
Shera Azad
Zahir Abu
Abdul Huyyat
Gafy Ghanim
Harith Bin
Mohammed Jabali
Abdul Hakim
Ahmad Al-dasuqi
Saddam Qalibou
Jazmine Abboud
Adi Bin
Indian Mazan:
Hiba Waheedi
Amr Omar
Abdul Halim
Abdulhadi 
Ahmed Al-qazzaz
Saud Khalan
Ahmed Al-hammadi
Amir Sasaa
Shakeeb Shamr
Zaheer Dravid
Jacob Farid
Hajar Bin
Marsel Albadri
Zahlawi Leaders:

abdulaziz
Omar Jaaouni
Noor Bunza
Ahmad Bin
Mahi Maeda
Marzouq Jazini
Hanifah Ibn
Hasan And
Ahmad Taqsh
Abdul Hayy
Tahir Bin
Mohamed Sharief
Wael Benazza
John Shaweys
Mosaab Dajani
Adam Zulato
Samah Badiriyah
Abdul Jabbar
Masaab Bin
Zafar Qai
Faraaz Khan
Abdul Ghaffar
Timothy Quinne
Abdullah Atiebah
Fouz Azhiman
Wael Ben
Din Qarjuliy
Kanani Bint
Maraadi Saifi
Zaid Bin
Mamar Bin
Ahmed Al-badri
Nizar Zraqqan
Ben Wail
Jamal Saidawi
Zakiya Abdul-qais
Abdul Karim
Arnaut Zekeriya
Brave Anmar
Martha Katheri
Ahmad Al-muzaffar
Abdulrahman Kamal
Sandy Taziz
John Qadar
Abdul Bari
Mohammed Al-moutawakil
Arnautot English
Fakhr Al-sahili
Mohammed Ben
Mohammed Sharif
Abdul Shukoor
Azizuddin Ayyubi
Abbas Mzayna
Ahmed Al-zamami
Samir Delim
Beni Atiya
Mohammed Bin
Ameer Saif
Hilal Al-baqum
Taha Saadoun
Coastal Emirati
Thank You
Najib Shujayi
Shahabullah Jar
Dakkak Abdelaziz
Samah Akawi
Husain Al
Ahmed Alshahabi
Hafiz Qadahaa
Abdul Khaliq
Nasseruddin Hajazi
Mazen Saifi
Ahmed Al
Salman Al-ansari
Abdul Latif
Abdulmuhyi Saaim
Muhammad Ibn
Faruq Bin
Hesham Matori
Zaar Jazam
Ghamdi Naouri
Fahd Akawi
Mahdi Zufir
Fahd Al-sahul
Adel Omar
Abu Bakr
Ali Bilal
Abdulaziz Al-awazim
Moht Aliyan
Safyan Birqdar
Doraya Ahmed
Shafii Sham
Fahid Sharaban
Miqdad Al-namri
Hajji Zamamiri
Fatemah Shahran
Marammar Bin
Dorothy Smith
Fahd Aklob
Fahd Al-qahtani
Nasir Kaleebo
Himaan Najib
Ahmed Neshashi
Jasim Azel
Ahmad Al-asmar
Nabil Jouda
Rashid Al-ghawamma
Ounass Al
Khandaf Al-qadis
Majed Zargan
Ambassador Marazique
Sami Bin
Ahmed Al-badri
John Asad
Saifuddin Qais
Faramarz Mazhar
Amro Omar
Abdulqais 
Mohammed Sharif
Ahmed Al-zamami
Mutayyim Bin
Hassan Daqaq
Hazem Al-kababish
Abdul Jalil
Shera Guide
Kazem Taghlob
Fars Khazraj
Abdul Jabbar
Abdul Karim
Ahmad Al-muzaffar
Hazem Jaouni
Emirates World
Abdul Shukoor
Fahd Al-awlaqi
Abdul Jalil
Kholan Fathah
Aliyan Braveheart
Abdul Qais
Hazakah Gebili
Mesrour Diquaq
Keziah Eilan
Mayyad Hidmi
Mesaud Saidani
Ahmed Al-ahmar
Adeeb Bano
Tom Rubab
Himawan Jazarr
Mansour Mzayna
Ahmed Al-qabani
Abdul Rashid
Kays Eylan
Kareem Ghanim
